Date,CPU Utilization,CPU Power
2023-05-14 11:57:45,0.00251,0.35387
2023-05-14 11:57:46,0.00188,0.31947
2023-05-14 11:57:47,0.00188,0.33541
2023-05-14 11:57:48,0.00188,0.32433
2023-05-14 11:57:49,0.00251,0.47147
2023-05-14 11:57:50,0.00188,0.30885
2023-05-14 11:57:51,0.00188,0.29791
2023-05-14 11:57:52,0.00188,0.32916
2023-05-14 11:57:53,0.00251,0.47481
2023-05-14 11:57:54,0.00188,0.32945
2023-05-14 11:57:55,0.00188,0.32602
2023-05-14 11:57:56,0.00125,0.20255
2023-05-14 11:57:57,0.00251,0.46762
2023-05-14 11:57:58,0.00188,0.32378
2023-05-14 11:57:59,0.00188,0.32029
2023-05-14 11:58:00,0.00188,0.30066
2023-05-14 11:58:01,0.00251,0.40749
2023-05-14 11:58:02,0.00125,0.20585
2023-05-14 11:58:03,0.00188,0.36177
2023-05-14 11:58:04,0.00251,0.41860
2023-05-14 11:58:05,0.00189,0.28520
2023-05-14 11:58:06,0.00188,0.30450
2023-05-14 11:58:07,0.00251,0.43027
2023-05-14 11:58:08,0.00126,0.21280
2023-05-14 11:58:09,0.00251,0.42896
2023-05-14 11:58:10,0.00189,0.28499
2023-05-14 11:58:11,0.00189,0.35284
2023-05-14 11:58:12,0.00188,0.30816
2023-05-14 11:58:13,0.00250,0.42990
2023-05-14 11:58:14,0.00188,0.31521
2023-05-14 11:58:15,0.00188,0.28877
2023-05-14 11:58:16,0.00188,0.30391
2023-05-14 11:58:17,0.00187,0.32409
2023-05-14 11:58:18,0.00188,0.31417
2023-05-14 11:58:19,0.00250,0.39203
2023-05-14 11:58:20,0.00188,0.26515
2023-05-14 11:58:21,0.00251,0.43611
2023-05-14 11:58:22,0.00188,0.29724
2023-05-14 11:58:23,0.00125,0.22309
2023-05-14 11:58:24,0.00252,0.43677
2023-05-14 11:58:25,0.00188,0.33332
2023-05-14 11:58:26,0.00189,0.33627
2023-05-14 11:58:27,0.00251,0.41527
2023-05-14 11:58:28,0.00187,0.30706
2023-05-14 11:58:29,0.00188,0.33670
2023-05-14 11:58:30,0.00188,0.30775
2023-05-14 11:58:31,0.00189,0.37063
2023-05-14 11:58:32,0.00188,0.31492
2023-05-14 11:58:33,0.00188,0.34191
2023-05-14 11:58:34,0.00251,0.43350
2023-05-14 11:58:35,0.00188,0.32155
2023-05-14 11:58:36,0.00188,0.33796
2023-05-14 11:58:37,0.00251,0.47455
2023-05-14 11:58:38,0.00188,0.30693
2023-05-14 11:58:39,0.00187,0.29017
2023-05-14 11:58:40,0.00252,0.43332
2023-05-14 11:58:41,0.00125,0.22508
2023-05-14 11:58:42,0.00188,0.34209
2023-05-14 11:58:43,0.00188,0.34200
2023-05-14 11:58:44,0.00251,0.42560
2023-05-14 11:58:45,0.00188,0.33214
2023-05-14 11:58:46,0.00188,0.30671
2023-05-14 11:58:47,0.00188,0.34264
2023-05-14 11:58:48,0.00188,0.30196
2023-05-14 11:58:49,0.00250,0.43884
2023-05-14 11:58:50,0.00125,0.20609
2023-05-14 11:58:51,0.00251,0.37674
2023-05-14 11:58:52,0.00126,0.22044
2023-05-14 11:58:53,0.00251,0.45531
2023-05-14 11:58:54,0.00187,0.30336
2023-05-14 11:58:55,0.00189,0.35582
2023-05-14 11:58:56,0.00251,0.43229
2023-05-14 11:58:57,0.00188,0.34430
2023-05-14 11:58:58,0.00188,0.31096
2023-05-14 11:58:59,0.00251,0.42426
2023-05-14 11:59:00,0.00125,0.20874
2023-05-14 11:59:01,0.00251,0.43992
2023-05-14 11:59:02,0.00188,0.28341
2023-05-14 11:59:03,0.00188,0.34894
2023-05-14 11:59:04,0.00125,0.20947
2023-05-14 11:59:05,0.00313,0.52071
2023-05-14 11:59:06,0.00126,0.22070
2023-05-14 11:59:07,0.00251,0.43375
2023-05-14 11:59:08,0.00188,0.32669
2023-05-14 11:59:09,0.00251,0.43381
2023-05-14 11:59:10,0.00187,0.25679
2023-05-14 11:59:11,0.00188,0.30377
2023-05-14 11:59:12,0.00126,0.21935
2023-05-14 11:59:13,0.00252,0.44179
2023-05-14 11:59:14,0.00188,0.32351
2023-05-14 11:59:15,0.00188,0.31344
2023-05-14 11:59:16,0.00252,0.38616
2023-05-14 11:59:17,0.00125,0.21781
2023-05-14 11:59:18,0.00188,0.33098
2023-05-14 11:59:19,0.00251,0.42123
2023-05-14 11:59:20,0.00188,0.31252
2023-05-14 11:59:21,0.00125,0.18065
2023-05-14 11:59:22,0.00251,0.41315
2023-05-14 11:59:23,0.00125,0.20833
2023-05-14 11:59:24,0.00250,0.39931
