Date,CPU Utilization,CPU Power
2023-05-14 14:40:21,0.00566,1.02510
2023-05-14 14:40:22,0.06708,6.86329
2023-05-14 14:40:23,0.06830,6.38121
2023-05-14 14:40:24,0.06959,6.19526
2023-05-14 14:40:25,0.07461,6.49928
2023-05-14 14:40:26,0.06713,6.35861
2023-05-14 14:40:27,0.07215,6.67226
2023-05-14 14:40:28,0.07596,7.64675
2023-05-14 14:40:29,0.06758,6.33027
2023-05-14 14:40:30,0.06855,6.47840
2023-05-14 14:40:31,0.07644,6.37847
2023-05-14 14:40:32,0.06750,6.39166
2023-05-14 14:40:33,0.07089,7.55696
2023-05-14 14:40:34,0.07089,6.49530
2023-05-14 14:40:35,0.06462,6.35678
2023-05-14 14:40:36,0.06830,6.54220
2023-05-14 14:40:37,0.06433,6.15460
2023-05-14 14:40:38,0.07026,7.46695
2023-05-14 14:40:39,0.06717,6.36433
2023-05-14 14:40:40,0.06520,6.27417
2023-05-14 14:40:41,0.07596,6.33882
2023-05-14 14:40:42,0.06391,6.30648
2023-05-14 14:40:43,0.06767,7.24454
2023-05-14 14:40:44,0.07018,6.38923
2023-05-14 14:40:45,0.06320,6.27077
2023-05-14 14:40:46,0.06700,6.12188
2023-05-14 14:40:47,0.06821,6.41769
2023-05-14 14:40:48,0.06700,7.12528
2023-05-14 14:40:49,0.07156,6.45477
2023-05-14 14:40:50,0.06395,6.40199
2023-05-14 14:40:51,0.06851,6.46997
2023-05-14 14:40:52,0.07335,6.54361
2023-05-14 14:40:53,0.07000,7.18837
2023-05-14 14:40:54,0.07152,6.60812
2023-05-14 14:40:55,0.06775,6.39313
2023-05-14 14:40:56,0.06650,6.28305
2023-05-14 14:40:57,0.07009,6.11458
2023-05-14 14:40:58,0.06696,7.04147
2023-05-14 14:40:59,0.07147,6.55599
2023-05-14 14:41:00,0.06407,6.52230
2023-05-14 14:41:01,0.07581,6.59404
2023-05-14 14:41:02,0.06391,6.24135
2023-05-14 14:41:03,0.06951,7.65843
2023-05-14 14:41:04,0.06767,6.46948
2023-05-14 14:41:05,0.07264,6.60785
2023-05-14 14:41:06,0.06725,6.38878
2023-05-14 14:41:07,0.06746,6.35012
2023-05-14 14:41:08,0.07085,7.26759
2023-05-14 14:41:09,0.06704,6.41927
2023-05-14 14:41:10,0.06730,6.63292
2023-05-14 14:41:11,0.07138,6.10730
2023-05-14 14:41:12,0.06516,7.26712
2023-05-14 14:41:13,0.07143,6.22253
2023-05-14 14:41:14,0.07331,6.60958
2023-05-14 14:41:15,0.07215,6.37961
2023-05-14 14:41:16,0.06704,6.40397
2023-05-14 14:41:17,0.07031,7.65837
2023-05-14 14:41:18,0.07134,6.31564
2023-05-14 14:41:19,0.06717,6.28900
2023-05-14 14:41:20,0.06767,6.31306
2023-05-14 14:41:21,0.06320,5.95027
2023-05-14 14:41:22,0.07500,7.48646
2023-05-14 14:41:23,0.07206,6.49826
2023-05-14 14:41:24,0.07345,6.82572
2023-05-14 14:41:25,0.06713,6.29275
2023-05-14 14:41:26,0.06708,6.23968
2023-05-14 14:41:27,0.06637,7.36585
2023-05-14 14:41:28,0.06462,6.48998
2023-05-14 14:41:29,0.06834,6.58655
2023-05-14 14:41:30,0.07605,6.46805
2023-05-14 14:41:31,0.07192,6.32693
2023-05-14 14:41:32,0.07389,7.67504
2023-05-14 14:41:33,0.07384,6.84422
2023-05-14 14:41:34,0.06905,6.73988
2023-05-14 14:41:35,0.07465,6.73144
2023-05-14 14:41:36,0.06905,6.37970
2023-05-14 14:41:37,0.07080,7.47468
2023-05-14 14:41:38,0.06704,6.41032
2023-05-14 14:41:39,0.06524,6.57617
2023-05-14 14:41:40,0.07326,6.64284
2023-05-14 14:41:41,0.07277,6.62594
2023-05-14 14:41:42,0.06834,7.52455
2023-05-14 14:41:43,0.06754,6.30061
2023-05-14 14:41:44,0.06533,6.55729
2023-05-14 14:41:45,0.06775,6.37912
2023-05-14 14:41:46,0.06407,6.20604
2023-05-14 14:41:47,0.07018,7.57331
2023-05-14 14:41:48,0.07156,6.51526
2023-05-14 14:41:49,0.06910,6.46889
2023-05-14 14:41:50,0.06646,6.19057
2023-05-14 14:41:51,0.06775,6.44866
2023-05-14 14:41:52,0.06717,7.41894
2023-05-14 14:41:53,0.07121,6.32102
2023-05-14 14:41:54,0.06450,6.34465
2023-05-14 14:41:55,0.07143,6.37488
2023-05-14 14:41:56,0.07250,6.37422
2023-05-14 14:41:57,0.07089,7.60270
2023-05-14 14:41:58,0.07586,6.70755
2023-05-14 14:41:59,0.06910,6.76165
2023-05-14 14:42:00,0.07057,6.47276
