Date,CPU Utilization,CPU Power
2023-05-14 16:03:30,0.03194,2.58372
2023-05-14 16:03:31,0.03889,3.45941
2023-05-14 16:03:32,0.03741,3.20547
2023-05-14 16:03:33,0.03484,3.18277
2023-05-14 16:03:34,0.03618,3.26453
2023-05-14 16:03:35,0.03345,3.18757
2023-05-14 16:03:36,0.03678,3.19899
2023-05-14 16:03:37,0.03481,3.02553
2023-05-14 16:03:38,0.03315,3.11913
2023-05-14 16:03:39,0.03533,3.10793
2023-05-14 16:03:40,0.03666,3.23510
2023-05-14 16:03:41,0.03765,3.32768
2023-05-14 16:03:42,0.03202,2.92835
2023-05-14 16:03:43,0.03439,2.87257
2023-05-14 16:03:44,0.03754,3.56283
2023-05-14 16:03:45,0.03596,3.36369
2023-05-14 16:03:46,0.03789,3.25336
2023-05-14 16:03:47,0.03704,3.28239
2023-05-14 16:03:48,0.03474,3.25894
2023-05-14 16:03:49,0.03833,3.19721
2023-05-14 16:03:50,0.03422,3.10292
2023-05-14 16:03:51,0.03537,3.09992
2023-05-14 16:03:52,0.03644,3.16747
2023-05-14 16:03:53,0.03912,3.35469
2023-05-14 16:03:54,0.03691,3.26549
2023-05-14 16:03:55,0.03598,3.09795
2023-05-14 16:03:56,0.03770,3.08061
2023-05-14 16:03:57,0.03681,3.27543
2023-05-14 16:03:58,0.03425,3.21127
2023-05-14 16:03:59,0.03683,3.18000
2023-05-14 16:04:00,0.03744,2.94306
2023-05-14 16:04:01,0.03838,3.44515
2023-05-14 16:04:02,0.03491,2.87754
2023-05-14 16:04:03,0.03757,3.52899
2023-05-14 16:04:04,0.03747,3.00641
2023-05-14 16:04:05,0.03354,3.12044
2023-05-14 16:04:06,0.04005,3.39625
2023-05-14 16:04:07,0.03559,3.16732
2023-05-14 16:04:08,0.03460,3.18229
2023-05-14 16:04:09,0.03683,3.27901
2023-05-14 16:04:10,0.04036,3.56549
2023-05-14 16:04:11,0.03635,3.22257
2023-05-14 16:04:12,0.03533,3.10879
2023-05-14 16:04:13,0.03263,2.92298
2023-05-14 16:04:14,0.03345,3.07031
2023-05-14 16:04:15,0.03836,3.46771
2023-05-14 16:04:16,0.03802,3.28602
2023-05-14 16:04:17,0.03781,2.92489
2023-05-14 16:04:18,0.03193,3.01572
2023-05-14 16:04:19,0.03893,3.47483
