Date,CPU Utilization,CPU Power
2023-05-14 16:31:51,0.00379,0.52653
2023-05-14 16:31:52,0.09263,5.47388
2023-05-14 16:31:53,0.09285,5.63871
2023-05-14 16:31:54,0.09165,5.26094
2023-05-14 16:31:55,0.09119,5.22721
2023-05-14 16:31:56,0.09102,4.78502
2023-05-14 16:31:57,0.09148,4.71135
2023-05-14 16:31:58,0.09165,5.37330
2023-05-14 16:31:59,0.09551,5.71628
2023-05-14 16:32:00,0.09211,6.16673
2023-05-14 16:32:01,0.09395,6.19612
2023-05-14 16:32:02,0.09251,4.94105
2023-05-14 16:32:03,0.09011,4.84546
2023-05-14 16:32:04,0.08936,4.95464
2023-05-14 16:32:05,0.09296,5.26533
2023-05-14 16:32:06,0.09274,5.07368
2023-05-14 16:32:07,0.08982,4.80547
2023-05-14 16:32:08,0.09171,5.30973
2023-05-14 16:32:09,0.09171,4.97613
2023-05-14 16:32:10,0.09188,4.71934
2023-05-14 16:32:11,0.09148,4.74710
2023-05-14 16:32:12,0.08982,4.84529
2023-05-14 16:32:13,0.09206,4.98005
2023-05-14 16:32:14,0.08942,4.65529
2023-05-14 16:32:15,0.09125,4.84764
2023-05-14 16:32:16,0.08885,4.84665
2023-05-14 16:32:17,0.09108,4.99219
2023-05-14 16:32:18,0.08970,4.91819
2023-05-14 16:32:19,0.09171,4.82426
2023-05-14 16:32:20,0.09039,4.83435
2023-05-14 16:32:21,0.09183,4.95522
2023-05-14 16:32:22,0.08902,4.80626
2023-05-14 16:32:23,0.09269,4.86525
2023-05-14 16:32:24,0.09194,5.57419
2023-05-14 16:32:25,0.09216,4.90858
2023-05-14 16:32:26,0.09310,4.84689
2023-05-14 16:32:27,0.09142,5.03296
2023-05-14 16:32:28,0.09097,4.70736
2023-05-14 16:32:29,0.09091,5.12933
2023-05-14 16:32:30,0.09091,4.88679
2023-05-14 16:32:31,0.09079,4.86430
2023-05-14 16:32:32,0.08994,4.91448
2023-05-14 16:32:33,0.09068,4.89631
2023-05-14 16:32:34,0.08959,4.90725
2023-05-14 16:32:35,0.09211,5.19660
2023-05-14 16:32:36,0.09160,4.95398
2023-05-14 16:32:37,0.09308,4.92299
2023-05-14 16:32:38,0.09251,4.99851
2023-05-14 16:32:39,0.09251,5.01279
2023-05-14 16:32:40,0.09223,5.00325
2023-05-14 16:32:41,0.08770,5.48931
