Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-12 18:02:15,0.10386,13.69531,13.69531,0.00000
2023-05-12 18:02:16,0.12688,15.30078,15.30078,0.00000
2023-05-12 18:02:17,0.16342,17.35547,17.35547,0.00000
2023-05-12 18:02:18,0.09632,12.26563,12.26563,0.00000
2023-05-12 18:02:19,0.11939,15.38672,15.38672,0.00000
2023-05-12 18:02:20,0.13556,16.04297,16.04297,0.00000
2023-05-12 18:02:21,0.16196,14.32031,14.32031,0.00000
2023-05-12 18:02:22,0.12018,13.70313,13.70313,0.00000
2023-05-12 18:02:23,0.14214,15.10938,15.10938,0.00000
2023-05-12 18:02:24,0.12705,15.60547,15.60547,0.00000
2023-05-12 18:02:25,0.16940,16.36328,16.36328,0.00000
2023-05-12 18:02:26,0.08555,10.55078,10.55078,0.00000
2023-05-12 18:02:27,0.13677,15.41797,15.41797,0.00000
2023-05-12 18:02:28,0.11653,14.94141,14.94141,0.00000
2023-05-12 18:02:29,0.11918,13.35156,13.35156,0.00000
2023-05-12 18:02:30,0.08270,10.41797,10.41797,0.00000
2023-05-12 18:02:31,0.11668,13.07031,13.07031,0.00000
2023-05-12 18:02:32,0.14295,17.00391,17.00391,0.00000
2023-05-12 18:02:33,0.13587,13.87891,13.87891,0.00000
2023-05-12 18:02:34,0.08354,10.19531,10.19531,0.00000
2023-05-12 18:02:35,0.10190,11.30859,11.30859,0.00000
2023-05-12 18:02:36,0.10703,13.18750,13.18750,0.00000
2023-05-12 18:02:37,0.11987,11.65234,11.65234,0.00000
2023-05-12 18:02:38,0.09503,11.09766,11.09766,0.00000
2023-05-12 18:02:39,0.13905,15.62500,15.62500,0.00000
2023-05-12 18:02:40,0.12453,15.51172,15.51172,0.00000
2023-05-12 18:02:41,0.15492,16.24609,16.24609,0.00000
2023-05-12 18:02:42,0.11351,12.03516,12.03516,0.00000
2023-05-12 18:02:43,0.09235,11.25781,11.25781,0.00000
2023-05-12 18:02:44,0.10013,13.26953,13.26953,0.00000
2023-05-12 18:02:45,0.09905,11.40625,11.40625,0.00000
2023-05-12 18:02:46,0.07985,10.35156,10.35156,0.00000
2023-05-12 18:02:47,0.13346,13.80469,13.80469,0.00000
2023-05-12 18:02:48,0.11705,14.58203,14.58203,0.00000
2023-05-12 18:02:49,0.10520,12.05859,12.05859,0.00000
2023-05-12 18:02:50,0.09274,10.71094,10.71094,0.00000
2023-05-12 18:02:51,0.14357,15.37109,15.37109,0.00000
2023-05-12 18:02:52,0.19090,20.80469,20.80469,0.00000
2023-05-12 18:02:53,0.19335,22.95703,22.95703,0.00000
2023-05-12 18:02:54,0.16498,21.66797,21.66797,0.00000
2023-05-12 18:02:55,0.13379,15.31641,15.31641,0.00000
2023-05-12 18:02:56,0.14726,17.46875,17.46875,0.00000
2023-05-12 18:02:57,0.18491,19.12109,19.12109,0.00000
2023-05-12 18:02:58,0.07972,9.64063,9.64063,0.00000
2023-05-12 18:02:59,0.10221,12.21094,12.21094,0.00000
2023-05-12 18:03:00,0.10619,13.25000,13.25000,0.00000
2023-05-12 18:03:01,0.10992,11.92188,11.92188,0.00000
2023-05-12 18:03:02,0.14619,14.39063,14.39063,0.00000
2023-05-12 18:03:03,0.12374,13.88281,13.88281,0.00000
2023-05-12 18:03:04,0.14232,16.28906,16.28906,0.00000
2023-05-12 18:03:05,0.11097,13.01953,13.01953,0.00000
2023-05-12 18:03:06,0.18549,19.69531,19.69531,0.00000
2023-05-12 18:03:07,0.10703,11.46484,11.46484,0.00000
2023-05-12 18:03:08,0.11217,14.46484,14.46484,0.00000
2023-05-12 18:03:09,0.11293,12.46484,12.46484,0.00000
2023-05-12 18:03:10,0.11387,12.53906,12.53906,0.00000
2023-05-12 18:03:11,0.10907,12.03516,12.03516,0.00000
2023-05-12 18:03:12,0.09533,13.34766,13.34766,0.00000
2023-05-12 18:03:13,0.09898,12.07422,12.07422,0.00000
2023-05-12 18:03:14,0.10653,12.09375,12.09375,0.00000
2023-05-12 18:03:15,0.11888,13.92188,13.92188,0.00000
2023-05-12 18:03:16,0.11660,14.03125,14.03125,0.00000
2023-05-12 18:03:17,0.10006,11.60156,11.60156,0.00000
2023-05-12 18:03:18,0.09454,11.76953,11.76953,0.00000
2023-05-12 18:03:19,0.14214,14.85938,14.85938,0.00000
2023-05-12 18:03:20,0.11461,14.12500,14.12500,0.00000
2023-05-12 18:03:21,0.10234,12.54297,12.54297,0.00000
2023-05-12 18:03:22,0.10239,11.13672,11.13672,0.00000
2023-05-12 18:03:23,0.12020,14.22656,14.22656,0.00000
2023-05-12 18:03:24,0.12050,14.59375,14.59375,0.00000
2023-05-12 18:03:25,0.13438,14.25000,14.25000,0.00000
2023-05-12 18:03:26,0.17565,16.35156,16.35156,0.00000
2023-05-12 18:03:27,0.16266,16.69141,16.69141,0.00000
2023-05-12 18:03:28,0.14070,15.66016,15.66016,0.00000
2023-05-12 18:03:29,0.12058,13.61328,13.61328,0.00000
2023-05-12 18:03:30,0.12373,13.65234,13.65234,0.00000
2023-05-12 18:03:31,0.15883,16.74219,16.74219,0.00000
2023-05-12 18:03:32,0.13426,14.96484,14.96484,0.00000
2023-05-12 18:03:33,0.12587,13.15625,13.15625,0.00000
2023-05-12 18:03:34,0.12270,12.79688,12.79688,0.00000
2023-05-12 18:03:35,0.11139,12.00781,12.00781,0.00000
2023-05-12 18:03:36,0.11972,14.03906,14.03906,0.00000
2023-05-12 18:03:37,0.15746,17.67969,17.67969,0.00000
2023-05-12 18:03:38,0.10613,11.63672,11.63672,0.00000
2023-05-12 18:03:39,0.17536,16.84766,16.84766,0.00000
2023-05-12 18:03:40,0.12382,15.14453,15.14453,0.00000
2023-05-12 18:03:41,0.13739,14.09375,14.09375,0.00000
2023-05-12 18:03:42,0.12735,12.54297,12.54297,0.00000
2023-05-12 18:03:43,0.11924,13.55078,13.55078,0.00000
2023-05-12 18:03:44,0.13665,15.68359,15.68359,0.00000
2023-05-12 18:03:45,0.13685,14.31641,14.31641,0.00000
2023-05-12 18:03:46,0.09611,11.56641,11.56641,0.00000
2023-05-12 18:03:47,0.10214,11.85938,11.85938,0.00000
2023-05-12 18:03:48,0.10354,13.05078,13.05078,0.00000
2023-05-12 18:03:49,0.09349,12.18750,12.18750,0.00000
2023-05-12 18:03:50,0.07532,10.10547,10.10547,0.00000
2023-05-12 18:03:51,0.08924,11.58594,11.58594,0.00000
2023-05-12 18:03:52,0.09355,13.01172,13.01172,0.00000
2023-05-12 18:03:53,0.10386,12.30469,12.30469,0.00000
2023-05-12 18:03:54,0.09407,11.40234,11.40234,0.00000
2023-05-12 18:03:55,0.08602,11.28125,11.28125,0.00000
2023-05-12 18:03:56,0.09424,12.92188,12.92188,0.00000
2023-05-12 18:03:57,0.09407,11.76172,11.76172,0.00000
2023-05-12 18:03:58,0.07532,10.24219,10.24219,0.00000
2023-05-12 18:03:59,0.09373,12.07813,12.07813,0.00000
2023-05-12 18:04:00,0.10227,13.04297,13.04297,0.00000
2023-05-12 18:04:01,0.09057,11.42188,11.42188,0.00000
2023-05-12 18:04:02,0.08553,10.28125,10.28125,0.00000
2023-05-12 18:04:03,0.08862,10.92969,10.92969,0.00000
2023-05-12 18:04:04,0.09165,12.59766,12.59766,0.00000
2023-05-12 18:04:05,0.08971,11.56250,11.56250,0.00000
2023-05-12 18:04:06,0.07538,9.66797,9.66797,0.00000
2023-05-12 18:04:07,0.08417,11.26563,11.26563,0.00000
2023-05-12 18:04:08,0.09371,13.18750,13.18750,0.00000
2023-05-12 18:04:09,0.09091,11.13672,11.13672,0.00000
2023-05-12 18:04:10,0.08161,9.82813,9.82813,0.00000
2023-05-12 18:04:11,0.09119,11.27734,11.27734,0.00000
2023-05-12 18:04:12,0.09893,13.00391,13.00391,0.00000
2023-05-12 18:04:13,0.09369,11.87891,11.87891,0.00000
2023-05-12 18:04:14,0.08040,9.98828,9.98828,0.00000
2023-05-12 18:04:15,0.10759,12.58203,12.58203,0.00000
2023-05-12 18:04:16,0.09692,13.25781,13.25781,0.00000
2023-05-12 18:04:17,0.09114,11.26563,11.26563,0.00000
2023-05-12 18:04:18,0.10894,11.57813,11.57813,0.00000
2023-05-12 18:04:19,0.10480,12.40625,12.40625,0.00000
2023-05-12 18:04:20,0.13296,16.09375,16.09375,0.00000
2023-05-12 18:04:21,0.16993,15.99609,15.99609,0.00000
2023-05-12 18:04:22,0.11780,14.55469,14.55469,0.00000
2023-05-12 18:04:23,0.11132,13.30078,13.30078,0.00000
2023-05-12 18:04:24,0.13880,16.55859,16.55859,0.00000
2023-05-12 18:04:25,0.15253,16.32422,16.32422,0.00000
2023-05-12 18:04:26,0.14259,15.97656,15.97656,0.00000
2023-05-12 18:04:27,0.14393,17.53906,17.53906,0.00000
2023-05-12 18:04:28,0.16529,19.33594,19.33594,0.00000
2023-05-12 18:04:29,0.14798,16.51953,16.51953,0.00000
2023-05-12 18:04:30,0.13697,15.04688,15.04688,0.00000
2023-05-12 18:04:31,0.15016,16.29688,16.29688,0.00000
2023-05-12 18:04:32,0.20765,18.81641,18.81641,0.00000
2023-05-12 18:04:33,0.08633,11.21875,11.21875,0.00000
2023-05-12 18:04:34,0.11483,13.80078,13.80078,0.00000
2023-05-12 18:04:35,0.19937,16.91797,16.91797,0.00000
2023-05-12 18:04:36,0.11876,14.24219,14.24219,0.00000
2023-05-12 18:04:37,0.10146,12.50391,12.50391,0.00000
2023-05-12 18:04:38,0.10202,11.20313,11.20313,0.00000
2023-05-12 18:04:39,0.09428,11.70703,11.70703,0.00000
2023-05-12 18:04:40,0.09473,12.87500,12.87500,0.00000
2023-05-12 18:04:41,0.08868,11.60938,11.60938,0.00000
2023-05-12 18:04:42,0.10613,12.06641,12.06641,0.00000
2023-05-12 18:04:43,0.11083,13.27344,13.27344,0.00000
2023-05-12 18:04:44,0.11861,14.33984,14.33984,0.00000
2023-05-12 18:04:45,0.13878,14.85938,14.85938,0.00000
2023-05-12 18:04:46,0.10227,11.66016,11.66016,0.00000
2023-05-12 18:04:47,0.14087,17.06641,17.06641,0.00000
2023-05-12 18:04:48,0.14674,16.94141,16.94141,0.00000
2023-05-12 18:04:49,0.13898,13.21484,13.21484,0.00000
2023-05-12 18:04:50,0.10038,11.82031,11.82031,0.00000
2023-05-12 18:04:51,0.14540,15.68359,15.68359,0.00000
2023-05-12 18:04:52,0.17997,20.27344,20.27344,0.00000
2023-05-12 18:04:53,0.18038,19.75000,19.75000,0.00000
2023-05-12 18:04:54,0.16667,16.84766,16.84766,0.00000
2023-05-12 18:04:55,0.19105,16.32813,16.32813,0.00000
2023-05-12 18:04:56,0.11728,15.58594,15.58594,0.00000
2023-05-12 18:04:57,0.14796,14.48438,14.48438,0.00000
2023-05-12 18:04:58,0.10349,12.28125,12.28125,0.00000
2023-05-12 18:04:59,0.12746,14.26172,14.26172,0.00000
2023-05-12 18:05:00,0.12715,14.92969,14.92969,0.00000
2023-05-12 18:05:01,0.10689,12.41797,12.41797,0.00000
2023-05-12 18:05:02,0.12928,14.39453,14.39453,0.00000
2023-05-12 18:05:03,0.16572,18.53516,18.53516,0.00000
2023-05-12 18:05:04,0.15190,17.47656,17.47656,0.00000
2023-05-12 18:05:05,0.13628,16.74609,16.74609,0.00000
2023-05-12 18:05:06,0.15982,15.24609,15.24609,0.00000
2023-05-12 18:05:07,0.11820,14.21875,14.21875,0.00000
2023-05-12 18:05:08,0.13914,17.19531,17.19531,0.00000
2023-05-12 18:05:09,0.13804,15.67578,15.67578,0.00000
2023-05-12 18:05:10,0.14603,14.84766,14.84766,0.00000
2023-05-12 18:05:11,0.15639,16.53516,16.53516,0.00000
2023-05-12 18:05:12,0.16020,17.87891,17.87891,0.00000
2023-05-12 18:05:13,0.15076,16.27344,16.27344,0.00000
2023-05-12 18:05:14,0.14150,15.15625,15.15625,0.00000
2023-05-12 18:05:15,0.14440,15.57422,15.57422,0.00000
2023-05-12 18:05:16,0.15975,17.76563,17.76563,0.00000
2023-05-12 18:05:17,0.10929,13.44531,13.44531,0.00000
2023-05-12 18:05:18,0.10929,12.64453,12.64453,0.00000
2023-05-12 18:05:19,0.11519,13.33203,13.33203,0.00000
2023-05-12 18:05:20,0.12468,16.33984,16.33984,0.00000
2023-05-12 18:05:21,0.10069,12.69922,12.69922,0.00000
2023-05-12 18:05:22,0.09509,10.79688,10.79688,0.00000
2023-05-12 18:05:23,0.12920,15.08594,15.08594,0.00000
2023-05-12 18:05:24,0.15603,17.35156,17.35156,0.00000
2023-05-12 18:05:25,0.13266,14.16406,14.16406,0.00000
2023-05-12 18:05:26,0.08814,10.59375,10.59375,0.00000
2023-05-12 18:05:27,0.11854,13.05078,13.05078,0.00000
2023-05-12 18:05:28,0.11062,14.03906,14.03906,0.00000
2023-05-12 18:05:29,0.14349,14.55859,14.55859,0.00000
2023-05-12 18:05:30,0.10183,11.07422,11.07422,0.00000
2023-05-12 18:05:31,0.10430,11.60938,11.60938,0.00000
2023-05-12 18:05:32,0.11069,14.26953,14.26953,0.00000
2023-05-12 18:05:33,0.17803,19.23047,19.23047,0.00000
2023-05-12 18:05:34,0.12028,11.69531,11.69531,0.00000
2023-05-12 18:05:35,0.07233,11.48047,11.48047,0.00000
2023-05-12 18:05:36,0.09860,13.29297,13.29297,0.00000
2023-05-12 18:05:37,0.07215,9.17188,9.17188,0.00000
2023-05-12 18:05:38,0.09385,12.19922,12.19922,0.00000
2023-05-12 18:05:39,0.05646,8.24609,8.24609,0.00000
2023-05-12 18:05:40,0.05749,8.51563,8.51563,0.00000
2023-05-12 18:05:41,0.06411,8.51953,8.51953,0.00000
2023-05-12 18:05:42,0.07251,9.77344,9.77344,0.00000
2023-05-12 18:05:43,0.04525,6.91797,6.91797,0.00000
2023-05-12 18:05:44,0.07066,9.66797,9.66797,0.00000
2023-05-12 18:05:45,0.04474,7.10547,7.10547,0.00000
