Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-12 18:28:32,0.08428,9.92773,9.92773,0.00000
2023-05-12 18:28:33,0.12144,13.88867,13.88867,0.00000
2023-05-12 18:28:34,0.11062,12.91113,12.91113,0.00000
2023-05-12 18:28:35,0.10196,12.08008,12.08008,0.00000
2023-05-12 18:28:36,0.09436,12.19531,12.19531,0.00000
2023-05-12 18:28:37,0.12991,13.57227,13.57227,0.00000
2023-05-12 18:28:38,0.09473,12.02344,12.02344,0.00000
2023-05-12 18:28:39,0.15496,16.42871,16.42871,0.00000
2023-05-12 18:28:40,0.10872,12.82031,12.82031,0.00000
2023-05-12 18:28:41,0.09500,11.76074,11.76074,0.00000
2023-05-12 18:28:42,0.15457,20.99902,20.99902,0.00000
2023-05-12 18:28:43,0.14277,13.35352,13.35352,0.00000
2023-05-12 18:28:44,0.11041,12.38965,12.38965,0.00000
2023-05-12 18:28:45,0.09608,13.03613,13.03613,0.00000
2023-05-12 18:28:46,0.12028,13.15723,13.15723,0.00000
2023-05-12 18:28:47,0.11441,12.36426,12.36426,0.00000
2023-05-12 18:28:48,0.11414,12.20117,12.20117,0.00000
2023-05-12 18:28:49,0.12119,12.83105,12.83105,0.00000
2023-05-12 18:28:50,0.09798,11.58789,11.58789,0.00000
2023-05-12 18:28:51,0.12121,15.36035,15.36035,0.00000
2023-05-12 18:28:52,0.11798,13.32422,13.32422,0.00000
2023-05-12 18:28:53,0.08976,10.41113,10.41113,0.00000
2023-05-12 18:28:54,0.09551,11.09961,11.09961,0.00000
2023-05-12 18:28:55,0.11111,12.05078,12.05078,0.00000
2023-05-12 18:28:56,0.15142,15.82910,15.82910,0.00000
2023-05-12 18:28:57,0.11490,13.34082,13.34082,0.00000
2023-05-12 18:28:58,0.10240,11.59668,11.59668,0.00000
2023-05-12 18:28:59,0.11477,13.49707,13.49707,0.00000
2023-05-12 18:29:00,0.09804,11.43555,11.43555,0.00000
2023-05-12 18:29:01,0.15414,16.56250,16.56250,0.00000
2023-05-12 18:29:02,0.12994,15.25684,15.25684,0.00000
2023-05-12 18:29:03,0.17947,18.44824,18.44824,0.00000
2023-05-12 18:29:04,0.16425,17.86035,17.86035,0.00000
2023-05-12 18:29:05,0.12366,13.29199,13.29199,0.00000
