Date,CPU Utilization,CPU Power
2023-05-14 17:08:54,0.00599,0.59921
2023-05-14 17:08:55,0.00750,0.65358
2023-05-14 17:08:56,0.00910,0.83522
2023-05-14 17:08:57,0.01049,1.00900
2023-05-14 17:08:58,0.00905,0.78673
2023-05-14 17:08:59,0.01109,0.95887
2023-05-14 17:09:00,0.00962,0.79913
2023-05-14 17:09:01,0.01044,0.81328
2023-05-14 17:09:02,0.00905,0.81880
2023-05-14 17:09:03,0.01328,1.22414
2023-05-14 17:09:04,0.00978,0.93219
2023-05-14 17:09:05,0.00974,0.81790
2023-05-14 17:09:06,0.01127,0.94214
2023-05-14 17:09:07,0.01119,0.90582
2023-05-14 17:09:08,0.01052,0.91062
2023-05-14 17:09:09,0.01115,1.01592
2023-05-14 17:09:10,0.01107,0.92962
2023-05-14 17:09:11,0.01116,1.05319
2023-05-14 17:09:12,0.00965,0.88678
2023-05-14 17:09:13,0.01094,0.91538
2023-05-14 17:09:14,0.01045,0.91602
2023-05-14 17:09:15,0.01032,1.02757
2023-05-14 17:09:16,0.01376,1.32041
2023-05-14 17:09:17,0.01167,1.07658
2023-05-14 17:09:18,0.01020,1.23963
2023-05-14 17:09:19,0.01027,1.12500
2023-05-14 17:09:20,0.00951,1.16380
2023-05-14 17:09:21,0.01022,1.26752
2023-05-14 17:09:22,0.01296,1.40323
2023-05-14 17:09:23,0.01022,1.24604
2023-05-14 17:09:24,0.01036,1.36426
2023-05-14 17:09:25,0.01113,1.27715
2023-05-14 17:09:26,0.01719,1.65743
2023-05-14 17:09:27,0.01156,1.34063
2023-05-14 17:09:28,0.01287,1.32193
2023-05-14 17:09:29,0.01081,1.28884
2023-05-14 17:09:30,0.01553,1.52734
2023-05-14 17:09:31,0.01158,1.30477
2023-05-14 17:09:32,0.01425,1.59229
2023-05-14 17:09:33,0.01364,1.53056
2023-05-14 17:09:34,0.01366,1.53975
