Date,CPU Utilization,CPU Power
2023-05-14 17:14:47,0.08155,4.87295
2023-05-14 17:14:48,0.08646,5.49891
2023-05-14 17:14:49,0.08804,5.30200
2023-05-14 17:14:50,0.08992,5.67647
2023-05-14 17:14:51,0.08233,5.09099
2023-05-14 17:14:52,0.08467,5.47876
2023-05-14 17:14:53,0.08444,5.00765
2023-05-14 17:14:54,0.08423,5.59556
2023-05-14 17:14:55,0.08378,5.39141
2023-05-14 17:14:56,0.08144,5.75412
2023-05-14 17:14:57,0.08146,5.40476
2023-05-14 17:14:58,0.08445,5.60439
2023-05-14 17:14:59,0.08011,5.18560
2023-05-14 17:15:00,0.07510,5.21723
2023-05-14 17:15:01,0.04545,3.66106
2023-05-14 17:15:02,0.07682,5.08014
2023-05-14 17:15:03,0.08743,5.53571
2023-05-14 17:15:04,0.07124,4.33887
2023-05-14 17:15:05,0.08045,5.28600
2023-05-14 17:15:06,0.08728,5.30557
2023-05-14 17:15:07,0.08523,5.63770
