Date,CPU Utilization,CPU Power
2023-05-14 17:26:57,0.00439,0.67406
2023-05-14 17:26:58,0.42902,17.21776
2023-05-14 17:26:59,0.42723,17.54161
2023-05-14 17:27:00,0.42857,17.15465
2023-05-14 17:27:01,0.42911,17.35893
2023-05-14 17:27:02,0.43279,16.88115
2023-05-14 17:27:03,0.43116,17.27981
2023-05-14 17:27:04,0.43108,17.02163
2023-05-14 17:27:05,0.44368,14.98729
2023-05-14 17:27:06,0.45620,14.73159
2023-05-14 17:27:07,0.46482,14.71337
2023-05-14 17:27:08,0.45739,14.57726
2023-05-14 17:27:09,0.46245,14.84565
2023-05-14 17:27:10,0.46361,14.73110
2023-05-14 17:27:11,0.46612,14.74122
2023-05-14 17:27:12,0.45802,14.48114
2023-05-14 17:27:13,0.46294,14.83227
2023-05-14 17:27:14,0.45812,14.72711
2023-05-14 17:27:15,0.46554,14.81419
2023-05-14 17:27:16,0.47059,14.80427
2023-05-14 17:27:17,0.44737,14.33909
2023-05-14 17:27:18,0.00000,0.00000
2023-05-14 17:27:19,0.00063,0.09059
