Date,CPU Utilization,CPU Power
2023-05-09 14:38:03,0.00256,0.23616
2023-05-09 14:38:04,0.00191,0.20033
2023-05-09 14:38:05,0.00255,0.27198
2023-05-09 14:38:06,0.00192,0.21246
2023-05-09 14:38:07,0.00319,0.32461
2023-05-09 14:38:08,0.00255,0.25935
2023-05-09 14:38:09,0.00192,0.17408
2023-05-09 14:38:10,0.00189,0.13981
2023-05-09 14:38:11,0.00314,0.28390
2023-05-09 14:38:12,0.00191,0.18406
2023-05-09 14:38:13,0.00189,0.16987
2023-05-09 14:38:14,0.00251,0.22882
2023-05-09 14:38:15,0.00250,0.22576
2023-05-09 14:38:16,0.00189,0.18664
2023-05-09 14:38:17,0.00189,0.18418
2023-05-09 14:38:18,0.00316,0.29913
2023-05-09 14:38:19,0.00190,0.18743
2023-05-09 14:38:20,0.00253,0.25410
2023-05-09 14:38:21,0.00190,0.18709
2023-05-09 14:38:22,0.00253,0.24871
2023-05-09 14:38:23,0.00190,0.18683
2023-05-09 14:38:24,0.00316,0.30573
2023-05-09 14:38:25,0.00191,0.18981
2023-05-09 14:38:26,0.00254,0.27333
2023-05-09 14:38:27,0.00191,0.20291
2023-05-09 14:38:28,0.00190,0.18857
2023-05-09 14:38:29,0.00254,0.26078
2023-05-09 14:38:30,0.00255,0.28008
2023-05-09 14:38:31,0.00190,0.19938
2023-05-09 14:38:32,0.00190,0.17827
2023-05-09 14:38:33,0.00254,0.24491
2023-05-09 14:38:34,0.00253,0.24880
2023-05-09 14:38:35,0.00190,0.19153
2023-05-09 14:38:36,0.00252,0.22820
2023-05-09 14:38:37,0.00252,0.25176
2023-05-09 14:38:38,0.00190,0.17835
2023-05-09 14:38:39,0.00251,0.23913
2023-05-09 14:38:40,0.00251,0.23401
2023-05-09 14:38:41,0.00189,0.15863
2023-05-09 14:38:42,0.00315,0.27037
2023-05-09 14:38:43,0.00191,0.17968
2023-05-09 14:38:44,0.00254,0.26305
2023-05-09 14:38:45,0.00190,0.19464
2023-05-09 14:38:46,0.00252,0.26433
2023-05-09 14:38:47,0.00255,0.27011
2023-05-09 14:38:48,0.00254,0.23931
2023-05-09 14:38:49,0.00191,0.16918
2023-05-09 14:38:50,0.00251,0.23457
2023-05-09 14:38:51,0.00255,0.26316
2023-05-09 14:38:52,0.00191,0.19661
2023-05-09 14:38:53,0.00254,0.25144
2023-05-09 14:38:54,0.00191,0.19535
2023-05-09 14:38:55,0.00191,0.20347
2023-05-09 14:38:56,0.00253,0.25233
2023-05-09 14:38:57,0.00253,0.26821
2023-05-09 14:38:58,0.00252,0.25556
2023-05-09 14:38:59,0.00189,0.18952
2023-05-09 14:39:00,0.00189,0.17740
2023-05-09 14:39:01,0.00254,0.24824
2023-05-09 14:39:02,0.00252,0.24756
2023-05-09 14:39:03,0.00192,0.19649
2023-05-09 14:39:04,0.00254,0.24350
2023-05-09 14:39:05,0.00251,0.23894
2023-05-09 14:39:06,0.00190,0.13367
2023-05-09 14:39:07,0.00255,0.17844
2023-05-09 14:39:08,0.00255,0.24910
2023-05-09 14:39:09,0.00255,0.20974
2023-05-09 14:39:10,0.00253,0.25873
2023-05-09 14:39:11,0.00191,0.19102
2023-05-09 14:39:12,0.00256,0.25761
2023-05-09 14:39:13,0.00190,0.18674
