Date,CPU Utilization,CPU Power
2023-05-09 14:52:47,0.01654,1.55002
2023-05-09 14:52:48,0.01705,1.70425
2023-05-09 14:52:49,0.01589,1.60630
2023-05-09 14:52:50,0.01713,1.72758
2023-05-09 14:52:51,0.01643,1.60088
2023-05-09 14:52:52,0.01642,1.63578
2023-05-09 14:52:53,0.01709,1.65244
2023-05-09 14:52:54,0.01649,1.71803
2023-05-09 14:52:55,0.01765,1.85243
2023-05-09 14:52:56,0.01646,1.77597
2023-05-09 14:52:57,0.01636,1.69727
2023-05-09 14:52:58,0.01714,1.70180
2023-05-09 14:52:59,0.01768,1.64815
2023-05-09 14:53:00,0.01716,1.75067
2023-05-09 14:53:01,0.01648,1.64465
2023-05-09 14:53:02,0.01698,1.73254
2023-05-09 14:53:03,0.01656,1.75235
2023-05-09 14:53:04,0.01665,1.81143
2023-05-09 14:53:05,0.01703,1.66907
2023-05-09 14:53:06,0.01729,1.84014
2023-05-09 14:53:07,0.01639,1.67510
2023-05-09 14:53:08,0.01768,1.75259
2023-05-09 14:53:09,0.01710,1.80915
2023-05-09 14:53:10,0.01581,1.62157
2023-05-09 14:53:11,0.01639,1.63743
2023-05-09 14:53:12,0.01709,1.77107
2023-05-09 14:53:13,0.01713,1.73638
2023-05-09 14:53:14,0.01579,1.57543
2023-05-09 14:53:15,0.01705,1.70800
2023-05-09 14:53:16,0.01709,1.77142
2023-05-09 14:53:17,0.01706,1.69809
2023-05-09 14:53:18,0.01700,1.62959
2023-05-09 14:53:19,0.01655,1.72638
2023-05-09 14:53:20,0.01713,1.72354
2023-05-09 14:53:21,0.01786,1.88193
2023-05-09 14:53:22,0.01655,1.68091
2023-05-09 14:53:23,0.01713,1.80330
2023-05-09 14:53:24,0.01662,1.84834
2023-05-09 14:53:25,0.01647,1.69621
2023-05-09 14:53:26,0.01712,1.77595
2023-05-09 14:53:27,0.01702,1.64370
2023-05-09 14:53:28,0.01710,1.73222
2023-05-09 14:53:29,0.01720,1.70935
2023-05-09 14:53:30,0.01715,1.78521
2023-05-09 14:53:31,0.01711,1.65401
2023-05-09 14:53:32,0.01716,1.72674
2023-05-09 14:53:33,0.01697,1.57824
2023-05-09 14:53:34,0.01654,1.81710
2023-05-09 14:53:35,0.01646,1.66839
2023-05-09 14:53:36,0.01655,1.64991
2023-05-09 14:53:37,0.01650,1.55857
2023-05-09 14:53:38,0.01715,1.69394
2023-05-09 14:53:39,0.01698,1.55488
2023-05-09 14:53:40,0.01648,1.56122
2023-05-09 14:53:41,0.01666,1.78841
2023-05-09 14:53:42,0.01712,1.84541
2023-05-09 14:53:43,0.01763,1.77130
2023-05-09 14:53:44,0.01723,1.77764
2023-05-09 14:53:45,0.01654,1.69164
2023-05-09 14:53:46,0.01711,1.66197
2023-05-09 14:53:47,0.01656,1.68348
2023-05-09 14:53:48,0.01660,1.72718
2023-05-09 14:53:49,0.01716,1.79760
2023-05-09 14:53:50,0.01641,1.67206
2023-05-09 14:53:51,0.01733,1.85544
2023-05-09 14:53:52,0.01657,1.71753
2023-05-09 14:53:53,0.01654,1.71111
2023-05-09 14:53:54,0.01734,1.83860
2023-05-09 14:53:55,0.01714,1.66337
2023-05-09 14:53:56,0.01657,1.70806
2023-05-09 14:53:57,0.01709,1.78506
2023-05-09 14:53:58,0.01716,1.76996
2023-05-09 14:53:59,0.01660,1.64495
2023-05-09 14:54:00,0.01646,1.70417
