Date,CPU Utilization,CPU Power
2023-05-09 14:39:32,0.00000,0.00000
2023-05-09 14:39:33,0.00000,0.00000
2023-05-09 14:39:34,0.00000,0.00000
2023-05-09 14:39:35,0.00000,0.00000
2023-05-09 14:39:36,0.00063,0.10345
2023-05-09 14:39:37,0.00000,0.00000
2023-05-09 14:39:38,0.00000,0.00000
2023-05-09 14:39:39,0.00000,0.00000
2023-05-09 14:39:40,0.00000,0.00000
2023-05-09 14:39:41,0.00000,0.00000
2023-05-09 14:39:42,0.00064,0.10995
2023-05-09 14:39:43,0.00000,0.00000
2023-05-09 14:39:44,0.00000,0.00000
2023-05-09 14:39:45,0.00000,0.00000
2023-05-09 14:39:46,0.00000,0.00000
2023-05-09 14:39:47,0.01586,1.58565
2023-05-09 14:39:48,0.01659,1.59961
2023-05-09 14:39:49,0.01581,1.41704
2023-05-09 14:39:50,0.01706,1.65491
2023-05-09 14:39:51,0.01582,1.62128
2023-05-09 14:39:52,0.01771,1.77940
2023-05-09 14:39:53,0.01657,1.60280
2023-05-09 14:39:54,0.01645,1.66220
2023-05-09 14:39:55,0.01720,1.83069
2023-05-09 14:39:56,0.01666,1.85864
2023-05-09 14:39:57,0.01721,1.94062
2023-05-09 14:39:58,0.01659,1.88085
2023-05-09 14:39:59,0.01726,1.94124
2023-05-09 14:40:00,0.01657,1.72496
2023-05-09 14:40:01,0.01716,1.80380
2023-05-09 14:40:02,0.01594,1.74781
2023-05-09 14:40:03,0.01705,1.67868
2023-05-09 14:40:04,0.01629,1.67048
2023-05-09 14:40:05,0.01718,1.77868
2023-05-09 14:40:06,0.01666,1.68973
2023-05-09 14:40:07,0.01591,1.59878
2023-05-09 14:40:08,0.01713,1.69162
2023-05-09 14:40:09,0.01652,1.61981
2023-05-09 14:40:10,0.01735,1.60572
2023-05-09 14:40:11,0.01586,1.54523
2023-05-09 14:40:12,0.01714,1.80253
2023-05-09 14:40:13,0.01663,1.84467
2023-05-09 14:40:14,0.01733,1.90923
2023-05-09 14:40:15,0.01647,1.64486
2023-05-09 14:40:16,0.01650,1.77841
2023-05-09 14:40:17,0.01656,1.68034
2023-05-09 14:40:18,0.01714,1.71515
2023-05-09 14:40:19,0.01646,1.63341
2023-05-09 14:40:20,0.01669,1.69963
2023-05-09 14:40:21,0.01659,1.66610
2023-05-09 14:40:22,0.01726,1.73421
2023-05-09 14:40:23,0.01663,1.72590
2023-05-09 14:40:24,0.01721,1.70035
2023-05-09 14:40:25,0.01724,1.75107
2023-05-09 14:40:26,0.01640,1.60148
2023-05-09 14:40:27,0.01642,1.64649
2023-05-09 14:40:28,0.01714,1.62008
2023-05-09 14:40:29,0.01642,1.58594
2023-05-09 14:40:30,0.01708,1.72766
2023-05-09 14:40:31,0.01594,1.64524
2023-05-09 14:40:32,0.01707,1.71123
2023-05-09 14:40:33,0.01649,1.71787
2023-05-09 14:40:34,0.01714,1.79132
2023-05-09 14:40:35,0.01666,1.79156
2023-05-09 14:40:36,0.01785,1.82955
2023-05-09 14:40:37,0.01646,1.67405
2023-05-09 14:40:38,0.01655,1.68745
2023-05-09 14:40:39,0.01645,1.60136
2023-05-09 14:40:40,0.01636,1.55282
2023-05-09 14:40:41,0.01642,1.74031
2023-05-09 14:40:42,0.01698,1.77910
2023-05-09 14:40:43,0.01711,1.85418
2023-05-09 14:40:44,0.01646,1.86848
2023-05-09 14:40:45,0.01702,1.81414
2023-05-09 14:40:46,0.01643,1.68133
2023-05-09 14:40:47,0.01643,1.78604
2023-05-09 14:40:48,0.01703,1.89402
2023-05-09 14:40:49,0.01777,2.03799
2023-05-09 14:40:50,0.01642,1.77265
2023-05-09 14:40:51,0.01711,1.84714
2023-05-09 14:40:52,0.01707,1.88531
2023-05-09 14:40:53,0.01658,1.73739
2023-05-09 14:40:54,0.01706,1.90212
2023-05-09 14:40:55,0.01583,1.73628
2023-05-09 14:40:56,0.01690,1.69701
2023-05-09 14:40:57,0.01645,1.80459
2023-05-09 14:40:58,0.01640,1.66089
2023-05-09 14:40:59,0.01650,1.87592
2023-05-09 14:41:00,0.01656,1.88079
2023-05-09 14:41:01,0.01780,2.07177
2023-05-09 14:41:02,0.01639,1.71365
2023-05-09 14:41:03,0.01641,1.67124
2023-05-09 14:41:04,0.01709,1.78627
2023-05-09 14:41:05,0.01709,1.85213
2023-05-09 14:41:06,0.01718,1.82630
2023-05-09 14:41:07,0.01641,1.61064
2023-05-09 14:41:08,0.01699,1.74256
2023-05-09 14:41:09,0.01781,1.92526
2023-05-09 14:41:10,0.01638,1.71319
2023-05-09 14:41:11,0.01702,1.73189
2023-05-09 14:41:12,0.01765,1.81654
2023-05-09 14:41:13,0.01640,1.71558
2023-05-09 14:41:14,0.01715,1.84641
2023-05-09 14:41:15,0.01697,1.78121
2023-05-09 14:41:16,0.01645,1.72740
2023-05-09 14:41:17,0.01702,1.75005
2023-05-09 14:41:18,0.01639,1.75111
2023-05-09 14:41:19,0.01699,1.77828
2023-05-09 14:41:20,0.01646,1.86875
2023-05-09 14:41:21,0.01715,1.85085
2023-05-09 14:41:22,0.01702,1.71776
2023-05-09 14:41:23,0.01710,1.81390
2023-05-09 14:41:24,0.01657,1.81362
2023-05-09 14:41:25,0.01707,1.82953
2023-05-09 14:41:26,0.01625,1.56636
2023-05-09 14:41:27,0.01761,1.83850
2023-05-09 14:41:28,0.01637,1.70483
2023-05-09 14:41:29,0.01640,-6732.79980
2023-05-09 14:41:30,0.01701,1.76276
