Date,CPU Utilization,CPU Power
2023-05-09 16:02:00,0.01036,0.92128
2023-05-09 16:02:01,0.01364,1.26884
2023-05-09 16:02:02,0.01304,1.33864
2023-05-09 16:02:03,0.01176,1.10429
2023-05-09 16:02:04,0.01299,1.47811
2023-05-09 16:02:05,0.01227,1.36782
2023-05-09 16:02:06,0.01321,1.81242
2023-05-09 16:02:07,0.01297,1.50000
2023-05-09 16:02:08,0.01163,1.22672
2023-05-09 16:02:09,0.01374,1.67578
2023-05-09 16:02:10,0.01302,1.50568
2023-05-09 16:02:11,0.01240,1.48319
2023-05-09 16:02:12,0.01299,1.57564
2023-05-09 16:02:13,0.01181,1.46152
2023-05-09 16:02:14,0.01231,1.46700
2023-05-09 16:02:15,0.01294,1.51400
2023-05-09 16:02:16,0.01304,1.64742
2023-05-09 16:02:17,0.01245,1.54772
2023-05-09 16:02:18,0.01245,1.55023
2023-05-09 16:02:19,0.01242,1.56534
2023-05-09 16:02:20,0.01309,1.52660
2023-05-09 16:02:21,0.01100,1.24683
2023-05-09 16:02:22,0.01243,1.55198
2023-05-09 16:02:23,0.01305,1.56997
2023-05-09 16:02:24,0.01305,1.60323
2023-05-09 16:02:25,0.01235,1.41522
2023-05-09 16:02:26,0.01242,1.40670
2023-05-09 16:02:27,0.01234,1.42055
2023-05-09 16:02:28,0.01309,1.64372
2023-05-09 16:02:29,0.01110,1.32679
2023-05-09 16:02:30,0.01227,1.35973
2023-05-09 16:02:31,0.01224,1.39099
2023-05-09 16:02:32,0.01224,1.37969
2023-05-09 16:02:33,0.01240,1.40276
2023-05-09 16:02:34,0.01101,1.29018
2023-05-09 16:02:35,0.01360,1.61390
2023-05-09 16:02:36,0.01239,1.51855
2023-05-09 16:02:37,0.01235,1.49388
2023-05-09 16:02:38,0.01184,1.59009
2023-05-09 16:02:39,0.01371,1.52919
2023-05-09 16:02:40,0.01181,1.49593
2023-05-09 16:02:41,0.01302,1.57862
2023-05-09 16:02:42,0.01444,1.76780
2023-05-09 16:02:43,0.01163,1.30065
2023-05-09 16:02:44,0.01297,1.57577
2023-05-09 16:02:45,0.01250,1.44767
2023-05-09 16:02:46,0.01229,1.33332
2023-05-09 16:02:47,0.01234,1.41492
2023-05-09 16:02:48,0.01167,1.35818
2023-05-09 16:02:49,0.01229,1.46228
2023-05-09 16:02:50,0.01175,1.42711
2023-05-09 16:02:51,0.01305,1.45074
2023-05-09 16:02:52,0.01169,1.36796
2023-05-09 16:02:53,0.01175,1.36483
2023-05-09 16:02:54,0.01371,1.71549
2023-05-09 16:02:55,0.01247,1.47172
2023-05-09 16:02:56,0.01181,1.51629
2023-05-09 16:02:57,0.01309,1.55021
2023-05-09 16:02:58,0.01239,1.35449
2023-05-09 16:02:59,0.01110,1.34059
2023-05-09 16:03:00,0.01229,1.41741
2023-05-09 16:03:01,0.01235,1.47050
2023-05-09 16:03:02,0.01189,1.48766
2023-05-09 16:03:03,0.01295,1.48754
2023-05-09 16:03:04,0.01169,1.33059
2023-05-09 16:03:05,0.01367,1.49519
2023-05-09 16:03:06,0.01180,1.39463
2023-05-09 16:03:07,0.01170,1.38338
2023-05-09 16:03:08,0.01373,1.70145
2023-05-09 16:03:09,0.01050,1.26864
2023-05-09 16:03:10,0.01231,1.36325
2023-05-09 16:03:11,0.01101,1.31725
2023-05-09 16:03:12,0.01234,1.49809
2023-05-09 16:03:13,0.01318,1.68930
2023-05-09 16:03:14,0.01235,1.53275
2023-05-09 16:03:15,0.01290,1.45313
2023-05-09 16:03:16,0.01234,1.41739
2023-05-09 16:03:17,0.01175,1.33738
2023-05-09 16:03:18,0.01178,1.35755
2023-05-09 16:03:19,0.01309,1.52893
2023-05-09 16:03:20,0.01160,1.19629
2023-05-09 16:03:21,0.01166,1.29933
2023-05-09 16:03:22,0.01309,1.36330
2023-05-09 16:03:23,0.01107,1.28679
2023-05-09 16:03:24,0.01305,1.40513
2023-05-09 16:03:25,0.01304,1.53537
2023-05-09 16:03:26,0.01243,1.36068
2023-05-09 16:03:27,0.01240,1.37535
2023-05-09 16:03:28,0.01180,1.27163
2023-05-09 16:03:29,0.01255,1.51330
2023-05-09 16:03:30,0.01325,1.54862
2023-05-09 16:03:31,0.01175,1.31758
2023-05-09 16:03:32,0.01051,1.27024
2023-05-09 16:03:33,0.01312,1.52499
2023-05-09 16:03:34,0.01243,1.39583
2023-05-09 16:03:35,0.01169,1.27734
2023-05-09 16:03:36,0.01101,1.23169
2023-05-09 16:03:37,0.01360,1.57825
2023-05-09 16:03:38,0.01034,1.13812
2023-05-09 16:03:39,0.01302,-5220.19580
2023-05-09 16:03:40,0.01229,1.36174
2023-05-09 16:03:41,0.01104,1.20039
2023-05-09 16:03:42,0.01095,1.18754
2023-05-09 16:03:43,0.01304,1.49414
2023-05-09 16:03:44,0.01239,1.47042
2023-05-09 16:03:45,0.01302,1.49182
2023-05-09 16:03:46,0.01115,1.39988
2023-05-09 16:03:47,0.01234,1.29538
2023-05-09 16:03:48,0.01243,1.53373
2023-05-09 16:03:49,0.01175,1.40741
2023-05-09 16:03:50,0.01305,1.52215
2023-05-09 16:03:51,0.01247,1.51969
2023-05-09 16:03:52,0.01175,1.44132
2023-05-09 16:03:53,0.01227,1.27934
2023-05-09 16:03:54,0.01169,1.34190
2023-05-09 16:03:55,0.01172,1.37638
2023-05-09 16:03:56,0.00972,1.11351
2023-05-09 16:03:57,0.00915,1.12556
2023-05-09 16:03:58,0.00909,1.02464
2023-05-09 16:03:59,0.00784,0.83629
2023-05-09 16:04:00,0.00852,0.99884
2023-05-09 16:04:01,0.00916,0.98646
2023-05-09 16:04:02,0.00726,0.87785
2023-05-09 16:04:03,0.00657,0.80128
2023-05-09 16:04:04,0.00721,0.89396
2023-05-09 16:04:05,0.00853,0.99638
2023-05-09 16:04:06,0.00656,0.70670
2023-05-09 16:04:07,0.00528,0.63654
2023-05-09 16:04:08,0.00716,0.82689
2023-05-09 16:04:09,0.00783,0.93421
2023-05-09 16:04:10,0.00598,0.83244
2023-05-09 16:04:11,0.00724,0.84431
2023-05-09 16:04:12,0.00789,0.91322
2023-05-09 16:04:13,0.00595,0.69722
2023-05-09 16:04:14,0.00717,0.84941
2023-05-09 16:04:15,0.00725,0.87558
2023-05-09 16:04:16,0.00661,0.84334
2023-05-09 16:04:17,0.00662,0.88297
2023-05-09 16:04:18,0.00720,0.83245
2023-05-09 16:04:19,0.00657,0.79668
2023-05-09 16:04:20,0.00849,0.98358
2023-05-09 16:04:21,0.00658,0.76311
2023-05-09 16:04:22,0.00724,0.88263
2023-05-09 16:04:23,0.00589,0.72288
2023-05-09 16:04:24,0.00657,0.80063
2023-05-09 16:04:25,0.00656,0.75111
2023-05-09 16:04:26,0.00726,0.88639
2023-05-09 16:04:27,0.00715,0.83584
2023-05-09 16:04:28,0.00591,0.69375
2023-05-09 16:04:29,0.00718,0.84650
2023-05-09 16:04:30,0.00656,0.75903
2023-05-09 16:04:31,0.00855,1.03489
2023-05-09 16:04:32,0.00594,0.76676
2023-05-09 16:04:33,0.00656,0.77781
2023-05-09 16:04:34,0.00588,0.69493
2023-05-09 16:04:35,0.00787,0.89412
2023-05-09 16:04:36,0.00595,0.71214
2023-05-09 16:04:37,0.00859,1.12384
2023-05-09 16:04:38,0.00650,0.71877
2023-05-09 16:04:39,0.00592,0.69751
2023-05-09 16:04:40,0.00718,0.84102
2023-05-09 16:04:41,0.00656,0.75276
2023-05-09 16:04:42,0.00726,0.88784
2023-05-09 16:04:43,0.00659,0.74829
2023-05-09 16:04:44,0.00660,0.82099
2023-05-09 16:04:45,0.00788,1.00920
2023-05-09 16:04:46,0.00524,0.59768
2023-05-09 16:04:47,0.00787,0.93303
2023-05-09 16:04:48,0.00660,0.82022
2023-05-09 16:04:49,0.00594,0.68610
2023-05-09 16:04:50,0.00789,0.89393
2023-05-09 16:04:51,0.00591,0.71094
2023-05-09 16:04:52,0.00725,0.92508
2023-05-09 16:04:53,0.00590,0.71473
2023-05-09 16:04:54,0.00728,0.93857
2023-05-09 16:04:55,0.00720,0.83984
2023-05-09 16:04:56,0.00664,0.85410
2023-05-09 16:04:57,0.00778,0.89580
2023-05-09 16:04:58,0.00720,0.76856
2023-05-09 16:04:59,0.00591,0.74670
2023-05-09 16:05:00,0.00794,0.95044
2023-05-09 16:05:01,0.00586,0.66651
2023-05-09 16:05:02,0.00728,0.98248
2023-05-09 16:05:03,0.00592,0.71955
2023-05-09 16:05:04,0.00791,0.97207
2023-05-09 16:05:05,0.00658,0.75261
2023-05-09 16:05:06,0.00594,0.78052
2023-05-09 16:05:07,0.00726,0.86873
2023-05-09 16:05:08,0.00594,0.71432
2023-05-09 16:05:09,0.00724,0.97066
2023-05-09 16:05:10,0.00653,0.78261
2023-05-09 16:05:11,0.00662,0.90776
2023-05-09 16:05:12,0.00657,0.73248
2023-05-09 16:05:13,0.00661,0.89714
2023-05-09 16:05:14,0.00787,0.97934
2023-05-09 16:05:15,0.00528,0.68632
2023-05-09 16:05:16,0.00787,0.92574
2023-05-09 16:05:17,0.00594,0.75913
2023-05-09 16:05:18,0.00797,1.00119
2023-05-09 16:05:19,0.00594,0.74706
2023-05-09 16:05:20,0.00655,0.68870
2023-05-09 16:05:21,0.00850,0.98941
2023-05-09 16:05:22,0.00527,0.64180
2023-05-09 16:05:23,0.00721,0.87443
2023-05-09 16:05:24,0.00587,0.64833
2023-05-09 16:05:25,0.00795,0.93921
2023-05-09 16:05:26,0.00589,0.65184
2023-05-09 16:05:27,0.00779,0.82906
2023-05-09 16:05:28,0.00718,0.75544
2023-05-09 16:05:29,0.00594,0.77149
2023-05-09 16:05:30,0.00726,0.84403
2023-05-09 16:05:31,0.00598,0.69901
2023-05-09 16:05:32,0.00855,0.96445
2023-05-09 16:05:33,0.00596,0.68446
2023-05-09 16:05:34,0.00724,0.81681
2023-05-09 16:05:35,0.00655,0.74607
2023-05-09 16:05:36,0.00727,0.84566
