Date,CPU Utilization,CPU Power
2023-05-09 17:15:16,0.01623,1.66089
2023-05-09 17:15:17,0.01376,1.71969
2023-05-09 17:15:18,0.01625,2.08448
2023-05-09 17:15:19,0.01560,1.93303
2023-05-09 17:15:20,0.01360,1.69081
2023-05-09 17:15:21,0.01434,1.76448
2023-05-09 17:15:22,0.01550,1.81264
2023-05-09 17:15:23,0.01432,1.84352
2023-05-09 17:15:24,0.01503,1.84738
2023-05-09 17:15:25,0.01560,1.96711
2023-05-09 17:15:26,0.01432,1.84322
2023-05-09 17:15:27,0.01494,1.79202
2023-05-09 17:15:28,0.01497,1.89129
2023-05-09 17:15:29,0.01567,2.05280
2023-05-09 17:15:30,0.01565,2.12785
2023-05-09 17:15:31,0.01432,1.81982
2023-05-09 17:15:32,0.01558,2.14882
2023-05-09 17:15:33,0.01558,1.76465
2023-05-09 17:15:34,0.01507,2.34629
2023-05-09 17:15:35,0.01688,2.19389
2023-05-09 17:15:36,0.01438,1.71609
2023-05-09 17:15:37,0.01619,2.01472
2023-05-09 17:15:38,0.01630,2.24467
2023-05-09 17:15:39,0.01619,1.86337
2023-05-09 17:15:40,0.01563,2.08243
2023-05-09 17:15:41,0.01499,1.98624
2023-05-09 17:15:42,0.01636,2.09702
2023-05-09 17:15:43,0.01436,1.91943
2023-05-09 17:15:44,0.01630,2.15384
2023-05-09 17:15:45,0.01632,2.10175
2023-05-09 17:15:46,0.01563,2.05629
2023-05-09 17:15:47,0.01632,2.05563
2023-05-09 17:15:48,0.01563,2.06549
2023-05-09 17:15:49,0.01628,2.05389
2023-05-09 17:15:50,0.01563,2.04368
2023-05-09 17:15:51,0.01563,2.02027
2023-05-09 17:15:52,0.01688,1.87600
2023-05-09 17:15:53,0.01567,2.20305
2023-05-09 17:15:54,0.01497,1.93622
2023-05-09 17:15:55,0.01765,2.27152
2023-05-09 17:15:56,0.01499,1.97254
2023-05-09 17:15:57,0.01563,2.01794
2023-05-09 17:15:58,0.01621,1.95858
2023-05-09 17:15:59,0.01432,1.79033
2023-05-09 17:16:00,0.01623,1.85114
2023-05-09 17:16:01,0.01640,2.12145
2023-05-09 17:16:02,0.01560,1.89859
2023-05-09 17:16:03,0.01758,2.24734
2023-05-09 17:16:04,0.01550,1.68522
2023-05-09 17:16:05,0.01623,1.95909
2023-05-09 17:16:06,0.01628,2.02065
2023-05-09 17:16:07,0.01558,1.85224
2023-05-09 17:16:08,0.01695,2.21446
2023-05-09 17:16:09,0.01571,2.30216
2023-05-09 17:16:10,0.01621,1.78294
2023-05-09 17:16:11,0.01632,2.15118
2023-05-09 17:16:12,0.01563,1.93569
2023-05-09 17:16:13,0.01684,2.05491
2023-05-09 17:16:14,0.01429,1.79395
2023-05-09 17:16:15,0.01628,2.06756
2023-05-09 17:16:16,0.01492,1.68339
2023-05-09 17:16:17,0.01693,2.11512
2023-05-09 17:16:18,0.01760,2.22674
2023-05-09 17:16:19,0.01625,1.87994
2023-05-09 17:16:20,0.01632,2.07257
2023-05-09 17:16:21,0.01501,1.74337
2023-05-09 17:16:22,0.01699,2.28541
2023-05-09 17:16:23,0.01617,1.98216
2023-05-09 17:16:24,0.01835,2.19592
2023-05-09 17:16:25,0.01430,1.84611
2023-05-09 17:16:26,0.01621,2.14728
2023-05-09 17:16:27,0.01567,1.86142
2023-05-09 17:16:28,0.01697,2.13034
2023-05-09 17:16:29,0.01751,2.16597
2023-05-09 17:16:30,0.01492,1.81181
2023-05-09 17:16:31,0.01697,2.14141
2023-05-09 17:16:32,0.01567,1.87212
2023-05-09 17:16:33,0.01558,2.02816
2023-05-09 17:16:34,0.01830,2.55378
2023-05-09 17:16:35,0.01558,1.85832
2023-05-09 17:16:36,0.01765,2.21336
2023-05-09 17:16:37,0.01693,2.08512
2023-05-09 17:16:38,0.01765,2.19089
2023-05-09 17:16:39,0.01619,2.00937
2023-05-09 17:16:40,0.01563,1.89873
2023-05-09 17:16:41,0.01878,2.28846
2023-05-09 17:16:42,0.01693,2.05949
2023-05-09 17:16:43,0.01762,2.13271
2023-05-09 17:16:44,0.01823,2.45533
2023-05-09 17:16:45,0.01704,2.27305
2023-05-09 17:16:46,0.01760,2.01783
2023-05-09 17:16:47,0.01818,2.29309
2023-05-09 17:16:48,0.01563,2.09256
2023-05-09 17:16:49,0.01688,1.91359
2023-05-09 17:16:50,0.01688,2.35336
2023-05-09 17:16:51,0.01636,2.08043
2023-05-09 17:16:52,0.01632,1.94748
2023-05-09 17:16:53,0.01628,2.22677
2023-05-09 17:16:54,0.01634,2.17649
2023-05-09 17:16:55,0.01684,1.90235
2023-05-09 17:16:56,0.01758,2.19858
2023-05-09 17:16:57,0.01762,2.23007
2023-05-09 17:16:58,0.01621,1.97133
2023-05-09 17:16:59,0.01756,2.26340
2023-05-09 17:17:00,0.01751,2.14634
2023-05-09 17:17:01,0.01560,1.83398
2023-05-09 17:17:02,0.01753,2.14978
2023-05-09 17:17:03,0.01628,2.15004
2023-05-09 17:17:04,0.01697,1.98965
2023-05-09 17:17:05,0.01823,2.17588
2023-05-09 17:17:06,0.01634,2.20646
2023-05-09 17:17:07,0.01823,2.01653
2023-05-09 17:17:08,0.01823,2.26445
2023-05-09 17:17:09,0.01756,2.21902
2023-05-09 17:17:10,0.01569,2.06288
2023-05-09 17:17:11,0.01940,2.16817
2023-05-09 17:17:12,0.01567,1.99204
2023-05-09 17:17:13,0.01695,2.26252
2023-05-09 17:17:14,0.01318,1.84877
2023-05-09 17:17:15,0.01309,1.59561
2023-05-09 17:17:16,0.01247,1.76136
2023-05-09 17:17:17,0.01247,1.58870
2023-05-09 17:17:18,0.01118,1.51960
2023-05-09 17:17:19,0.01304,1.53118
2023-05-09 17:17:20,0.01117,1.54934
2023-05-09 17:17:21,0.01247,1.55305
2023-05-09 17:17:22,0.00853,1.13801
2023-05-09 17:17:23,0.01184,1.67600
2023-05-09 17:17:24,0.00919,1.20075
2023-05-09 17:17:25,0.01255,1.77281
2023-05-09 17:17:26,0.01242,1.57602
2023-05-09 17:17:27,0.00925,1.28611
2023-05-09 17:17:28,0.01314,1.73997
2023-05-09 17:17:29,0.00921,1.28992
2023-05-09 17:17:30,0.01055,1.45155
2023-05-09 17:17:31,0.01047,1.30691
2023-05-09 17:17:32,0.00984,1.22048
2023-05-09 17:17:33,0.01050,1.45209
2023-05-09 17:17:34,0.01321,1.98365
2023-05-09 17:17:35,0.01057,1.45329
2023-05-09 17:17:36,0.01183,1.46118
2023-05-09 17:17:37,0.01053,1.43733
2023-05-09 17:17:38,0.00920,1.29235
2023-05-09 17:17:39,0.01121,1.57759
2023-05-09 17:17:40,0.00987,1.22186
2023-05-09 17:17:41,0.01181,1.57488
2023-05-09 17:17:42,0.00919,1.27624
2023-05-09 17:17:43,0.01318,1.80613
2023-05-09 17:17:44,0.01053,1.47930
2023-05-09 17:17:45,0.00919,1.16732
2023-05-09 17:17:46,0.01316,1.79191
2023-05-09 17:17:47,0.01051,1.50303
2023-05-09 17:17:48,0.01118,1.67713
2023-05-09 17:17:49,0.00989,1.38185
2023-05-09 17:17:50,0.01053,1.34529
2023-05-09 17:17:51,0.01114,1.38431
2023-05-09 17:17:52,0.01051,1.45122
2023-05-09 17:17:53,0.01186,1.65951
2023-05-09 17:17:54,0.01054,1.60431
2023-05-09 17:17:55,0.01054,1.45846
2023-05-09 17:17:56,0.01050,1.44437
2023-05-09 17:17:57,0.01118,1.47625
2023-05-09 17:17:58,0.01118,1.68713
2023-05-09 17:17:59,0.00988,1.44553
2023-05-09 17:18:00,0.01051,1.45376
2023-05-09 17:18:01,0.00989,1.40137
2023-05-09 17:18:02,0.01121,1.74347
2023-05-09 17:18:03,0.01187,1.72286
2023-05-09 17:18:04,0.01058,1.59081
2023-05-09 17:18:05,0.01247,1.58882
2023-05-09 17:18:06,0.00852,1.12150
2023-05-09 17:18:07,0.01184,1.67005
2023-05-09 17:18:08,0.00915,1.17657
2023-05-09 17:18:09,0.01181,1.53552
2023-05-09 17:18:10,0.00792,1.02821
2023-05-09 17:18:11,0.01245,1.56763
2023-05-09 17:18:12,0.00923,1.39371
2023-05-09 17:18:13,0.01186,1.66754
2023-05-09 17:18:14,0.01187,1.75062
2023-05-09 17:18:15,0.01053,1.35552
2023-05-09 17:18:16,0.01186,1.70793
2023-05-09 17:18:17,0.01117,1.51935
2023-05-09 17:18:18,0.01124,1.66576
2023-05-09 17:18:19,0.00917,1.24962
2023-05-09 17:18:20,0.01380,1.77316
2023-05-09 17:18:21,0.01053,1.53312
2023-05-09 17:18:22,0.01312,1.72962
2023-05-09 17:18:23,0.01114,1.48713
2023-05-09 17:18:24,0.01186,1.60462
2023-05-09 17:18:25,0.01117,1.44587
2023-05-09 17:18:26,0.01250,1.63464
2023-05-09 17:18:27,0.01051,1.43731
2023-05-09 17:18:28,0.01321,1.86823
2023-05-09 17:18:29,0.01115,1.45111
2023-05-09 17:18:30,0.01055,1.45913
2023-05-09 17:18:31,0.01054,1.43198
2023-05-09 17:18:32,0.01055,1.39269
2023-05-09 17:18:33,0.01314,1.74805
2023-05-09 17:18:34,0.00917,1.25735
2023-05-09 17:18:35,0.01319,1.71026
2023-05-09 17:18:36,0.00926,1.26567
2023-05-09 17:18:37,0.01184,1.59025
2023-05-09 17:18:38,0.00984,1.37023
2023-05-09 17:18:39,0.01113,1.47016
2023-05-09 17:18:40,0.01053,1.34030
2023-05-09 17:18:41,0.00991,1.34820
2023-05-09 17:18:42,0.01050,1.40756
2023-05-09 17:18:43,0.01058,1.47566
2023-05-09 17:18:44,0.01050,1.47101
2023-05-09 17:18:45,0.01180,1.54461
