Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-10 00:50:32,0.09119,13.85938,13.85938,0.00000
2023-05-10 00:50:33,0.11912,18.54688,18.54688,0.00000
2023-05-10 00:50:34,0.11572,18.98047,18.98047,0.00000
2023-05-10 00:50:35,0.08851,14.13672,14.13672,0.00000
2023-05-10 00:50:36,0.09931,15.59766,15.59766,0.00000
2023-05-10 00:50:37,0.09536,15.47656,15.47656,0.00000
2023-05-10 00:50:38,0.10645,16.21484,16.21484,0.00000
2023-05-10 00:50:39,0.09887,15.38672,15.38672,0.00000
2023-05-10 00:50:40,0.09694,15.21094,15.21094,0.00000
2023-05-10 00:50:41,0.11522,17.91797,17.91797,0.00000
2023-05-10 00:50:42,0.10075,15.19141,15.19141,0.00000
2023-05-10 00:50:43,0.09736,15.93359,15.93359,0.00000
2023-05-10 00:50:44,0.10100,16.27344,16.27344,0.00000
2023-05-10 00:50:45,0.11802,18.58594,18.58594,0.00000
2023-05-10 00:50:46,0.10728,16.81641,16.81641,0.00000
2023-05-10 00:50:47,0.09085,14.51563,14.51563,0.00000
2023-05-10 00:50:48,0.11230,17.18359,17.18359,0.00000
2023-05-10 00:50:49,0.10589,16.04297,16.04297,0.00000
2023-05-10 00:50:50,0.09279,14.14844,14.14844,0.00000
2023-05-10 00:50:51,0.10596,16.13281,16.13281,0.00000
2023-05-10 00:50:52,0.10338,16.61719,16.61719,0.00000
2023-05-10 00:50:53,0.09611,15.16016,15.16016,0.00000
2023-05-10 00:50:54,0.08663,14.13672,14.13672,0.00000
2023-05-10 00:50:55,0.09768,15.34766,15.34766,0.00000
2023-05-10 00:50:56,0.10470,16.30469,16.30469,0.00000
2023-05-10 00:50:57,0.09085,14.85156,14.85156,0.00000
2023-05-10 00:50:58,0.09831,15.24609,15.24609,0.00000
2023-05-10 00:50:59,0.10602,17.37500,17.37500,0.00000
2023-05-10 00:51:00,0.09831,15.87891,15.87891,0.00000
2023-05-10 00:51:01,0.09028,14.61719,14.61719,0.00000
2023-05-10 00:51:02,0.09774,15.38281,15.38281,0.00000
2023-05-10 00:51:03,0.10714,16.75000,16.75000,0.00000
2023-05-10 00:51:04,0.09781,15.33594,15.33594,0.00000
2023-05-10 00:51:05,0.08652,14.13672,14.13672,0.00000
2023-05-10 00:51:06,0.10645,16.72266,16.72266,0.00000
2023-05-10 00:51:07,0.10470,16.72266,16.72266,0.00000
2023-05-10 00:51:08,0.09542,15.28125,15.28125,0.00000
2023-05-10 00:51:09,0.09781,16.03906,16.03906,0.00000
2023-05-10 00:51:10,0.12304,18.70313,18.70313,0.00000
2023-05-10 00:51:11,0.09981,15.72266,15.72266,0.00000
2023-05-10 00:51:12,0.09605,15.88672,15.88672,0.00000
2023-05-10 00:51:13,0.09706,15.59375,15.59375,0.00000
2023-05-10 00:51:14,0.10965,17.02344,17.02344,0.00000
