Date,CPU Utilization,CPU Power
2023-05-10 00:50:32,0.02704,4.11002
2023-05-10 00:50:33,0.03009,4.68553
2023-05-10 00:50:34,0.02893,4.74512
2023-05-10 00:50:35,0.03013,4.81250
2023-05-10 00:50:36,0.02936,4.61063
2023-05-10 00:50:37,0.02949,4.78552
2023-05-10 00:50:38,0.03006,4.57831
2023-05-10 00:50:39,0.02941,4.57706
2023-05-10 00:50:40,0.03002,4.71048
2023-05-10 00:50:41,0.02943,4.57687
2023-05-10 00:50:42,0.02879,4.34040
2023-05-10 00:50:43,0.02952,4.83148
2023-05-10 00:50:44,0.02949,4.75063
2023-05-10 00:50:45,0.02888,4.54762
2023-05-10 00:50:46,0.03074,4.81874
2023-05-10 00:50:47,0.03008,4.80517
2023-05-10 00:50:48,0.02949,4.51189
2023-05-10 00:50:49,0.03008,4.55658
2023-05-10 00:50:50,0.03009,4.58868
2023-05-10 00:50:51,0.03009,4.58210
2023-05-10 00:50:52,0.02945,4.73338
2023-05-10 00:50:53,0.02889,4.55796
2023-05-10 00:50:54,0.03076,5.01956
2023-05-10 00:50:55,0.02943,4.62397
2023-05-10 00:50:56,0.02884,4.49111
2023-05-10 00:50:57,0.02882,4.71153
2023-05-10 00:50:58,0.02943,4.56412
2023-05-10 00:50:59,0.02949,4.83210
2023-05-10 00:51:00,0.02880,4.65242
2023-05-10 00:51:01,0.02947,4.77089
2023-05-10 00:51:02,0.03008,4.73317
2023-05-10 00:51:03,0.02945,4.60380
2023-05-10 00:51:04,0.03009,4.71875
2023-05-10 00:51:05,0.03072,5.01956
2023-05-10 00:51:06,0.02943,4.62332
2023-05-10 00:51:07,0.02821,4.50610
2023-05-10 00:51:08,0.03076,4.92619
2023-05-10 00:51:09,0.02947,4.83228
2023-05-10 00:51:10,0.03076,4.67578
2023-05-10 00:51:11,0.02888,4.54869
2023-05-10 00:51:12,0.03013,4.98407
2023-05-10 00:51:13,0.03068,4.92964
2023-05-10 00:51:14,0.02945,4.57201
2023-05-10 00:51:15,0.02879,4.73027
2023-05-10 00:51:16,0.02941,4.78230
2023-05-10 00:51:17,0.02947,4.36226
2023-05-10 00:51:18,0.02943,4.56730
2023-05-10 00:51:19,0.02947,4.85417
2023-05-10 00:51:20,0.02943,4.71577
2023-05-10 00:51:21,0.03011,4.68199
2023-05-10 00:51:22,0.03068,4.70142
2023-05-10 00:51:23,0.03009,4.89130
2023-05-10 00:51:24,0.03011,4.86176
2023-05-10 00:51:25,0.02947,4.60778
2023-05-10 00:51:26,0.02937,4.47438
2023-05-10 00:51:27,0.03000,4.56755
2023-05-10 00:51:28,0.02880,4.58503
2023-05-10 00:51:29,0.03125,4.97126
2023-05-10 00:51:30,0.02818,4.48355
2023-05-10 00:51:31,0.03009,4.86169
2023-05-10 00:51:32,0.03006,4.79618
2023-05-10 00:51:33,0.03070,5.04078
2023-05-10 00:51:34,0.02941,4.61902
2023-05-10 00:51:35,0.03074,5.00505
2023-05-10 00:51:36,0.03008,4.84046
2023-05-10 00:51:37,0.03011,5.01806
2023-05-10 00:51:38,0.02943,4.50493
2023-05-10 00:51:39,0.03008,4.77182
2023-05-10 00:51:40,0.02880,4.48880
2023-05-10 00:51:41,0.03006,4.80634
2023-05-10 00:51:42,0.03008,4.65606
2023-05-10 00:51:43,0.02884,4.45728
2023-05-10 00:51:44,0.02952,4.57058
2023-05-10 00:51:45,0.02947,4.80779
2023-05-10 00:51:46,0.02947,4.71087
2023-05-10 00:51:47,0.02947,4.98013
2023-05-10 00:51:48,0.02936,4.50371
2023-05-10 00:51:49,0.03072,5.01882
2023-05-10 00:51:50,0.02945,4.60088
2023-05-10 00:51:51,0.03129,5.03296
2023-05-10 00:51:52,0.03008,4.80453
2023-05-10 00:51:53,0.02952,4.51539
2023-05-10 00:51:54,0.02882,4.37378
2023-05-10 00:51:55,0.02947,4.87250
2023-05-10 00:51:56,0.03008,4.65024
2023-05-10 00:51:57,0.03072,4.88314
2023-05-10 00:51:58,0.03072,4.80356
2023-05-10 00:51:59,0.02884,4.84238
2023-05-10 00:52:00,0.03006,4.72078
2023-05-10 00:52:01,0.03009,4.55996
2023-05-10 00:52:02,0.03006,4.69115
2023-05-10 00:52:03,0.03072,4.86346
2023-05-10 00:52:04,0.02880,4.52623
2023-05-10 00:52:05,0.02945,4.87120
2023-05-10 00:52:06,0.03068,4.84566
2023-05-10 00:52:07,0.03006,4.84334
2023-05-10 00:52:08,0.03068,4.99756
2023-05-10 00:52:09,0.02941,4.71224
2023-05-10 00:52:10,0.02818,4.59213
2023-05-10 00:52:11,0.03066,4.67683
2023-05-10 00:52:12,0.03000,4.52632
2023-05-10 00:52:13,0.02882,4.72488
2023-05-10 00:52:14,0.03078,4.56455
2023-05-10 00:52:15,0.02818,4.37269
2023-05-10 00:52:16,0.02949,4.59690
2023-05-10 00:52:17,0.02939,4.68035
2023-05-10 00:52:18,0.02945,4.74860
2023-05-10 00:52:19,0.02879,4.50251
2023-05-10 00:52:20,0.03006,4.86659
2023-05-10 00:52:21,0.03004,4.76226
2023-05-10 00:52:22,0.03074,4.70919
2023-05-10 00:52:23,0.03009,4.81047
2023-05-10 00:52:24,0.02947,4.63662
2023-05-10 00:52:25,0.02882,4.66360
2023-05-10 00:52:26,0.02877,4.68685
2023-05-10 00:52:27,0.03011,4.94820
2023-05-10 00:52:28,0.02941,4.71053
2023-05-10 00:52:29,0.02947,4.70355
2023-05-10 00:52:30,0.02884,4.55497
2023-05-10 00:52:31,0.03006,4.85519
2023-05-10 00:52:32,0.03068,4.74712
2023-05-10 00:52:33,0.02886,4.75728
2023-05-10 00:52:34,0.02945,4.63574
2023-05-10 00:52:35,0.03008,5.07077
2023-05-10 00:52:36,0.03006,4.59164
2023-05-10 00:52:37,0.03011,4.55905
2023-05-10 00:52:38,0.02886,4.63405
2023-05-10 00:52:39,0.03068,4.93306
2023-05-10 00:52:40,0.03008,4.58131
2023-05-10 00:52:41,0.03131,5.08834
2023-05-10 00:52:42,0.02945,4.80992
2023-05-10 00:52:43,0.02947,4.65736
2023-05-10 00:52:44,0.02950,4.61639
2023-05-10 00:52:45,0.03002,4.97549
2023-05-10 00:52:46,0.03004,4.83464
2023-05-10 00:52:47,0.03011,4.77412
2023-05-10 00:52:48,0.03006,4.64621
2023-05-10 00:52:49,0.02882,4.59031
2023-05-10 00:52:50,0.03004,4.74677
2023-05-10 00:52:51,0.03074,4.85507
2023-05-10 00:52:52,0.02823,4.28593
2023-05-10 00:52:53,0.03131,5.25776
2023-05-10 00:52:54,0.03011,4.75530
2023-05-10 00:52:55,0.02949,4.48097
2023-05-10 00:52:56,0.02945,4.72064
2023-05-10 00:52:57,0.02879,4.69771
2023-05-10 00:52:58,0.03008,4.56959
2023-05-10 00:52:59,0.02882,4.71298
2023-05-10 00:53:00,0.03072,5.03264
2023-05-10 00:53:01,0.02949,4.65598
2023-05-10 00:53:02,0.03070,4.92014
2023-05-10 00:53:03,0.02877,4.64621
2023-05-10 00:53:04,0.03074,5.04750
2023-05-10 00:53:05,0.03008,4.73965
2023-05-10 00:53:06,0.02947,4.57398
2023-05-10 00:53:07,0.02879,4.45360
2023-05-10 00:53:08,0.03002,4.59494
2023-05-10 00:53:09,0.03008,4.85568
2023-05-10 00:53:10,0.02950,4.82296
2023-05-10 00:53:11,0.02949,4.77857
2023-05-10 00:53:12,0.02945,4.67761
2023-05-10 00:53:13,0.03011,4.52601
2023-05-10 00:53:14,0.02949,4.75206
2023-05-10 00:53:15,0.03009,4.80932
2023-05-10 00:53:16,0.03008,4.63925
2023-05-10 00:53:17,0.02886,4.55015
2023-05-10 00:53:18,0.02945,4.69976
2023-05-10 00:53:19,0.03002,4.62146
2023-05-10 00:53:20,0.02949,4.84556
2023-05-10 00:53:21,0.03011,4.73317
2023-05-10 00:53:22,0.03006,4.80319
2023-05-10 00:53:23,0.02947,4.49457
2023-05-10 00:53:24,0.02947,4.59203
2023-05-10 00:53:25,0.02882,4.87124
2023-05-10 00:53:26,0.02945,4.71066
2023-05-10 00:53:27,0.03006,4.80988
2023-05-10 00:53:28,0.03009,4.89315
2023-05-10 00:53:29,0.03004,4.96205
2023-05-10 00:53:30,0.02949,4.57260
2023-05-10 00:53:31,0.03013,4.69866
2023-05-10 00:53:32,0.02945,4.89450
2023-05-10 00:53:33,0.02884,4.55519
2023-05-10 00:53:34,0.03070,4.80409
2023-05-10 00:53:35,0.02941,4.73071
2023-05-10 00:53:36,0.03004,4.82872
2023-05-10 00:53:37,0.02945,4.82024
2023-05-10 00:53:38,0.03000,4.72593
2023-05-10 00:53:39,0.03009,4.89828
2023-05-10 00:53:40,0.03074,5.00081
2023-05-10 00:53:41,0.02943,4.73586
2023-05-10 00:53:42,0.02820,4.59709
2023-05-10 00:53:43,0.03009,5.00815
2023-05-10 00:53:44,0.03066,4.80710
2023-05-10 00:53:45,0.03015,4.86091
2023-05-10 00:53:46,0.02949,4.64707
2023-05-10 00:53:47,0.03002,4.86303
2023-05-10 00:53:48,0.03009,4.67514
2023-05-10 00:53:49,0.02941,4.60397
2023-05-10 00:53:50,0.03070,4.97246
2023-05-10 00:53:51,0.02949,4.71895
2023-05-10 00:53:52,0.02945,4.83797
2023-05-10 00:53:53,0.03013,4.76464
2023-05-10 00:53:54,0.02945,4.71115
2023-05-10 00:53:55,0.03000,4.62281
2023-05-10 00:53:56,0.03013,4.75114
2023-05-10 00:53:57,0.02873,4.55911
2023-05-10 00:53:58,0.03013,4.70064
2023-05-10 00:53:59,0.02882,4.53341
2023-05-10 00:54:00,0.03002,4.70264
2023-05-10 00:54:01,0.03070,4.94466
2023-05-10 00:54:02,0.02939,4.56831
2023-05-10 00:54:03,0.02880,4.19028
2023-05-10 00:54:04,0.03015,4.78873
2023-05-10 00:54:05,0.02753,4.15234
2023-05-10 00:54:06,0.03074,4.91870
2023-05-10 00:54:07,0.03013,4.62151
2023-05-10 00:54:08,0.02879,4.52595
2023-05-10 00:54:09,0.02941,4.59914
2023-05-10 00:54:10,0.02945,4.54326
2023-05-10 00:54:11,0.02877,4.54722
2023-05-10 00:54:12,0.03011,5.00452
2023-05-10 00:54:13,0.03074,4.84518
2023-05-10 00:54:14,0.02945,4.56900
2023-05-10 00:54:15,0.02884,4.32230
2023-05-10 00:54:16,0.03008,4.69194
2023-05-10 00:54:17,0.03061,4.67845
2023-05-10 00:54:18,0.03004,4.71034
2023-05-10 00:54:19,0.03006,4.93393
2023-05-10 00:54:20,0.03066,4.97043
2023-05-10 00:54:21,0.03011,4.93486
2023-05-10 00:54:22,0.02888,4.72472
2023-05-10 00:54:23,0.02884,4.82514
2023-05-10 00:54:24,0.02943,4.60907
2023-05-10 00:54:25,0.02949,4.48068
2023-05-10 00:54:26,0.02943,4.73931
2023-05-10 00:54:27,0.03070,4.99032
2023-05-10 00:54:28,0.03070,4.76235
2023-05-10 00:54:29,0.02947,4.74944
2023-05-10 00:54:30,0.03070,5.08029
2023-05-10 00:54:31,0.02945,4.74303
2023-05-10 00:54:32,0.03072,4.91236
2023-05-10 00:54:33,0.02945,4.83963
2023-05-10 00:54:34,0.02947,4.55725
2023-05-10 00:54:35,0.02879,4.76227
2023-05-10 00:54:36,0.02943,4.62470
2023-05-10 00:54:37,0.02945,4.80914
2023-05-10 00:54:38,0.02939,4.57101
2023-05-10 00:54:39,0.02941,4.60733
2023-05-10 00:54:40,0.02945,4.66046
2023-05-10 00:54:41,0.02882,4.70246
2023-05-10 00:54:42,0.03068,4.78178
2023-05-10 00:54:43,0.02950,4.57296
2023-05-10 00:54:44,0.02879,4.47058
2023-05-10 00:54:45,0.03009,4.66349
2023-05-10 00:54:46,0.02945,4.51881
2023-05-10 00:54:47,0.02947,4.73290
2023-05-10 00:54:48,0.03008,4.94161
2023-05-10 00:54:49,0.02949,4.79370
2023-05-10 00:54:50,0.03008,4.81352
2023-05-10 00:54:51,0.02945,4.73794
2023-05-10 00:54:52,0.02884,4.41470
2023-05-10 00:54:53,0.02947,4.55057
2023-05-10 00:54:54,0.03009,4.42071
2023-05-10 00:54:55,0.02947,4.93212
2023-05-10 00:54:56,0.03006,4.82265
2023-05-10 00:54:57,0.03006,4.81437
2023-05-10 00:54:58,0.02884,4.56754
2023-05-10 00:54:59,0.02943,4.69869
2023-05-10 00:55:00,0.03072,4.88956
2023-05-10 00:55:01,0.03008,4.66959
2023-05-10 00:55:02,0.03074,4.93153
2023-05-10 00:55:03,0.02947,4.72217
2023-05-10 00:55:04,0.02882,4.61997
2023-05-10 00:55:05,0.02939,4.78390
2023-05-10 00:55:06,0.02941,4.81278
2023-05-10 00:55:07,0.03011,4.86783
2023-05-10 00:55:08,0.03133,4.94267
2023-05-10 00:55:09,0.02947,4.83546
2023-05-10 00:55:10,0.02943,4.87871
2023-05-10 00:55:11,0.03006,4.56284
2023-05-10 00:55:12,0.02949,4.61170
2023-05-10 00:55:13,0.03008,4.59375
2023-05-10 00:55:14,0.03008,4.74716
2023-05-10 00:55:15,0.03006,4.44456
2023-05-10 00:55:16,0.02952,4.79251
2023-05-10 00:55:17,0.03000,4.98856
2023-05-10 00:55:18,0.02886,4.72479
2023-05-10 00:55:19,0.02879,4.57320
