Date,CPU Utilization,CPU Power
2023-05-10 01:06:56,0.03208,5.16025
2023-05-10 01:06:57,0.03195,5.13475
2023-05-10 01:06:58,0.03317,5.03520
2023-05-10 01:06:59,0.03323,5.22902
2023-05-10 01:07:00,0.03197,5.09318
2023-05-10 01:07:01,0.03319,5.04415
2023-05-10 01:07:02,0.03195,5.07091
2023-05-10 01:07:03,0.03317,5.27123
2023-05-10 01:07:04,0.03131,5.00175
2023-05-10 01:07:05,0.03127,4.60435
2023-05-10 01:07:06,0.03256,5.14671
2023-05-10 01:07:07,0.03254,5.13919
2023-05-10 01:07:08,0.03189,5.07114
2023-05-10 01:07:09,0.03260,5.27861
2023-05-10 01:07:10,0.03195,5.04225
2023-05-10 01:07:11,0.03258,5.27273
2023-05-10 01:07:12,0.03392,5.13899
2023-05-10 01:07:13,0.03195,4.80889
2023-05-10 01:07:14,0.03252,5.28125
2023-05-10 01:07:15,0.03072,4.94130
2023-05-10 01:07:16,0.03197,5.17003
2023-05-10 01:07:17,0.03197,5.18755
2023-05-10 01:07:18,0.03191,5.14360
2023-05-10 01:07:19,0.03308,5.05400
2023-05-10 01:07:20,0.03264,5.06711
2023-05-10 01:07:21,0.03317,5.56884
2023-05-10 01:07:22,0.03256,5.02439
2023-05-10 01:07:23,0.03323,5.27437
2023-05-10 01:07:24,0.03191,4.83834
2023-05-10 01:07:25,0.03129,5.15939
2023-05-10 01:07:26,0.03127,4.92863
2023-05-10 01:07:27,0.03258,5.12802
2023-05-10 01:07:28,0.03258,5.13635
2023-05-10 01:07:29,0.03252,5.28789
2023-05-10 01:07:30,0.03323,5.39217
2023-05-10 01:07:31,0.03123,4.94291
2023-05-10 01:07:32,0.03133,5.09483
2023-05-10 01:07:33,0.03252,5.05096
2023-05-10 01:07:34,0.03317,5.35530
2023-05-10 01:07:35,0.03321,5.44314
2023-05-10 01:07:36,0.03193,5.23364
2023-05-10 01:07:37,0.03254,5.05332
2023-05-10 01:07:38,0.03193,4.89646
2023-05-10 01:07:39,0.03133,5.16366
2023-05-10 01:07:40,0.03193,4.96770
2023-05-10 01:07:41,0.03129,4.94555
2023-05-10 01:07:42,0.03204,5.02749
2023-05-10 01:07:43,0.03127,4.93095
2023-05-10 01:07:44,0.03260,5.24527
2023-05-10 01:07:45,0.03327,5.23493
2023-05-10 01:07:46,0.03319,5.36544
2023-05-10 01:07:47,0.03321,5.19967
2023-05-10 01:07:48,0.03256,5.01767
2023-05-10 01:07:49,0.03127,4.86674
2023-05-10 01:07:50,0.03137,5.07397
2023-05-10 01:07:51,0.03256,5.08432
2023-05-10 01:07:52,0.03262,5.13566
2023-05-10 01:07:53,0.03256,5.14160
2023-05-10 01:07:54,0.03254,5.21704
2023-05-10 01:07:55,0.03129,4.80970
2023-05-10 01:07:56,0.03127,5.09226
2023-05-10 01:07:57,0.03133,4.90927
2023-05-10 01:07:58,0.03195,4.95777
2023-05-10 01:07:59,0.03195,5.04603
2023-05-10 01:08:00,0.03141,5.11400
2023-05-10 01:08:01,0.03250,5.35369
2023-05-10 01:08:02,0.03191,5.04001
2023-05-10 01:08:03,0.03133,4.62891
2023-05-10 01:08:04,0.03199,5.13382
2023-05-10 01:08:05,0.03193,5.06828
2023-05-10 01:08:06,0.03377,5.40940
2023-05-10 01:08:07,0.03195,5.10286
2023-05-10 01:08:08,0.03186,5.18253
2023-05-10 01:08:09,0.03189,4.80714
2023-05-10 01:08:10,0.03197,5.02173
2023-05-10 01:08:11,0.03323,5.14784
2023-05-10 01:08:12,0.03317,4.78230
2023-05-10 01:08:13,0.03258,4.97759
2023-05-10 01:08:14,0.03195,5.01132
2023-05-10 01:08:15,0.03321,5.49387
2023-05-10 01:08:16,0.03262,5.26302
2023-05-10 01:08:17,0.03262,5.28892
2023-05-10 01:08:18,0.03199,5.00962
2023-05-10 01:08:19,0.03123,5.03130
2023-05-10 01:08:20,0.03264,4.93506
2023-05-10 01:08:21,0.03252,4.95331
2023-05-10 01:08:22,0.03191,5.06266
2023-05-10 01:08:23,0.03137,5.02613
2023-05-10 01:08:24,0.03135,5.00310
2023-05-10 01:08:25,0.03133,4.91124
2023-05-10 01:08:26,0.03323,5.58528
2023-05-10 01:08:27,0.03256,5.11921
2023-05-10 01:08:28,0.03197,4.91643
2023-05-10 01:08:29,0.03189,4.90846
2023-05-10 01:08:30,0.03317,5.15100
2023-05-10 01:08:31,0.03256,4.75203
2023-05-10 01:08:32,0.03258,5.08927
2023-05-10 01:08:33,0.03381,5.66144
2023-05-10 01:08:34,0.03133,4.87558
2023-05-10 01:08:35,0.03195,4.88801
2023-05-10 01:08:36,0.03193,4.85965
2023-05-10 01:08:37,0.03137,4.98175
2023-05-10 01:08:38,0.03252,4.96190
2023-05-10 01:08:39,0.03323,5.40567
2023-05-10 01:08:40,0.03260,4.98231
2023-05-10 01:08:41,0.03191,5.03059
2023-05-10 01:08:42,0.03270,4.98032
2023-05-10 01:08:43,0.03193,5.11556
2023-05-10 01:08:44,0.03254,4.92067
2023-05-10 01:08:45,0.03250,4.99762
2023-05-10 01:08:46,0.03199,5.17483
2023-05-10 01:08:47,0.03189,4.77095
2023-05-10 01:08:48,0.03197,4.97799
2023-05-10 01:08:49,0.03317,5.11216
2023-05-10 01:08:50,0.03195,4.87391
2023-05-10 01:08:51,0.03191,4.90531
2023-05-10 01:08:52,0.03390,5.36817
2023-05-10 01:08:53,0.03315,5.33252
2023-05-10 01:08:54,0.03199,5.08406
2023-05-10 01:08:55,0.03131,5.04515
2023-05-10 01:08:56,0.03129,4.94032
2023-05-10 01:08:57,0.03258,5.26814
2023-05-10 01:08:58,0.03133,4.93473
2023-05-10 01:08:59,0.03256,5.33435
2023-05-10 01:09:00,0.03262,5.17913
2023-05-10 01:09:01,0.03193,5.06098
2023-05-10 01:09:02,0.03135,4.66923
2023-05-10 01:09:03,0.03068,4.86539
2023-05-10 01:09:04,0.03197,4.93733
2023-05-10 01:09:05,0.03258,5.22426
2023-05-10 01:09:06,0.03258,5.27457
2023-05-10 01:09:07,0.03317,5.08390
2023-05-10 01:09:08,0.03195,4.89235
2023-05-10 01:09:09,0.03195,5.22767
2023-05-10 01:09:10,0.03258,5.03933
2023-05-10 01:09:11,0.03191,4.85098
2023-05-10 01:09:12,0.03076,4.51813
2023-05-10 01:09:13,0.03254,4.99906
2023-05-10 01:09:14,0.03323,5.05449
2023-05-10 01:09:15,0.03317,5.36198
2023-05-10 01:09:16,0.03133,5.11971
2023-05-10 01:09:17,0.03137,4.91832
2023-05-10 01:09:18,0.03315,5.36840
2023-05-10 01:09:19,0.03258,5.31124
2023-05-10 01:09:20,0.03187,4.76088
2023-05-10 01:09:21,0.03254,5.33893
2023-05-10 01:09:22,0.02945,4.78273
2023-05-10 01:09:23,0.03262,5.30737
2023-05-10 01:09:24,0.03323,5.25192
2023-05-10 01:09:25,0.03258,5.10627
2023-05-10 01:09:26,0.03256,5.10769
2023-05-10 01:09:27,0.03264,5.42803
2023-05-10 01:09:28,0.03258,4.97268
2023-05-10 01:09:29,0.03202,4.91525
2023-05-10 01:09:30,0.03195,5.17115
2023-05-10 01:09:31,0.03195,5.12185
2023-05-10 01:09:32,0.03131,4.86537
2023-05-10 01:09:33,0.03135,4.98418
2023-05-10 01:09:34,0.03254,5.28701
2023-05-10 01:09:35,0.03317,4.92955
2023-05-10 01:09:36,0.03321,5.06812
2023-05-10 01:09:37,0.03131,5.07813
2023-05-10 01:09:38,0.03321,5.38548
2023-05-10 01:09:39,0.03262,5.17458
2023-05-10 01:09:40,0.03202,4.97539
2023-05-10 01:09:41,0.03189,5.06092
2023-05-10 01:09:42,0.03206,5.27930
2023-05-10 01:09:43,0.03199,5.02535
2023-05-10 01:09:44,0.03197,5.13852
2023-05-10 01:09:45,0.03256,5.36336
2023-05-10 01:09:46,0.03319,5.17113
2023-05-10 01:09:47,0.03264,4.95793
2023-05-10 01:09:48,0.03187,4.80048
2023-05-10 01:09:49,0.03256,5.01172
2023-05-10 01:09:50,0.03127,4.74410
2023-05-10 01:09:51,0.03381,5.61366
2023-05-10 01:09:53,0.03260,5.36428
2023-05-10 01:09:54,0.03195,4.85822
2023-05-10 01:09:55,0.03193,4.96236
2023-05-10 01:09:56,0.03125,4.99229
2023-05-10 01:09:57,0.03254,4.99359
2023-05-10 01:09:58,0.03139,4.83851
2023-05-10 01:09:59,0.03199,5.08715
2023-05-10 01:10:00,0.03193,5.24219
2023-05-10 01:10:01,0.03262,5.03025
2023-05-10 01:10:02,0.03258,5.33760
2023-05-10 01:10:03,0.03315,5.28883
2023-05-10 01:10:04,0.03193,4.76873
2023-05-10 01:10:05,0.03317,5.30833
2023-05-10 01:10:06,0.03256,5.14583
2023-05-10 01:10:07,0.03129,5.09780
2023-05-10 01:10:08,0.03195,5.05162
2023-05-10 01:10:09,0.03258,5.15489
2023-05-10 01:10:10,0.03260,5.19869
2023-05-10 01:10:11,0.03195,5.16546
2023-05-10 01:10:12,0.03315,4.95024
2023-05-10 01:10:13,0.03145,4.60081
2023-05-10 01:10:14,0.03329,5.10256
2023-05-10 01:10:15,0.03187,5.03120
2023-05-10 01:10:16,0.03325,5.18104
2023-05-10 01:10:17,0.03195,5.17458
2023-05-10 01:10:18,0.03386,5.46794
2023-05-10 01:10:19,0.03321,5.42555
2023-05-10 01:10:20,0.03135,5.02546
2023-05-10 01:10:21,0.03193,5.02417
2023-05-10 01:10:22,0.03256,5.20085
2023-05-10 01:10:23,0.03197,5.05098
2023-05-10 01:10:24,0.03197,4.96214
2023-05-10 01:10:25,0.03250,5.15792
2023-05-10 01:10:26,0.03323,5.33378
2023-05-10 01:10:27,0.03254,5.13012
2023-05-10 01:10:28,0.03321,5.17183
