Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-10 02:45:30,0.08218,12.50391,12.50391,0.00000
2023-05-10 02:45:31,0.10088,15.35156,15.35156,0.00000
2023-05-10 02:45:32,0.09938,15.42383,15.42383,0.00000
2023-05-10 02:45:33,0.08772,14.23438,14.23438,0.00000
2023-05-10 02:45:34,0.09875,15.22656,15.22656,0.00000
2023-05-10 02:45:35,0.10401,16.39844,16.39844,0.00000
2023-05-10 02:45:36,0.10401,16.20703,16.20703,0.00000
2023-05-10 02:45:37,0.09774,15.69922,15.69922,0.00000
2023-05-10 02:45:38,0.09813,15.07813,15.07813,0.00000
2023-05-10 02:45:39,0.12203,18.27148,18.27148,0.00000
2023-05-10 02:45:40,0.09712,15.32422,15.32422,0.00000
2023-05-10 02:45:41,0.09887,15.35938,15.35938,0.00000
2023-05-10 02:45:42,0.09625,15.59180,15.59180,0.00000
2023-05-10 02:45:43,0.09724,15.31250,15.31250,0.00000
2023-05-10 02:45:44,0.10025,15.16406,15.16406,0.00000
2023-05-10 02:45:45,0.09712,15.36328,15.36328,0.00000
2023-05-10 02:45:46,0.11702,18.23438,18.23438,0.00000
2023-05-10 02:45:47,0.10351,16.25977,16.25977,0.00000
2023-05-10 02:45:48,0.08750,14.00781,14.00781,0.00000
2023-05-10 02:45:49,0.13283,20.81250,20.81250,0.00000
2023-05-10 02:45:50,0.13962,20.12500,20.12500,0.00000
2023-05-10 02:45:51,0.09900,15.19531,15.19531,0.00000
2023-05-10 02:45:52,0.08824,13.99609,13.99609,0.00000
2023-05-10 02:45:53,0.10652,16.92188,16.92188,0.00000
2023-05-10 02:45:54,0.11104,17.23633,17.23633,0.00000
2023-05-10 02:45:55,0.09548,15.72070,15.72070,0.00000
2023-05-10 02:45:56,0.09598,15.93945,15.93945,0.00000
2023-05-10 02:45:57,0.11735,17.58203,17.58203,0.00000
2023-05-10 02:45:58,0.09422,15.55859,15.55859,0.00000
2023-05-10 02:45:59,0.09837,15.72656,15.72656,0.00000
2023-05-10 02:46:00,0.09712,15.76367,15.76367,0.00000
2023-05-10 02:46:01,0.09813,15.79492,15.79492,0.00000
2023-05-10 02:46:02,0.09700,15.82813,15.82813,0.00000
2023-05-10 02:46:03,0.09148,15.04492,15.04492,0.00000
2023-05-10 02:46:04,0.11905,18.20898,18.20898,0.00000
2023-05-10 02:46:05,0.10563,16.44922,16.44922,0.00000
2023-05-10 02:46:06,0.08584,14.37500,14.37500,0.00000
2023-05-10 02:46:07,0.09625,14.84570,14.84570,0.00000
2023-05-10 02:46:08,0.10338,16.39648,16.39648,0.00000
2023-05-10 02:46:09,0.09900,15.43359,15.43359,0.00000
2023-05-10 02:46:10,0.09023,14.75391,14.75391,0.00000
2023-05-10 02:46:11,0.11041,17.87695,17.87695,0.00000
