Date,CPU Utilization,CPU Power
2023-05-10 01:17:55,0.00125,0.28660
2023-05-10 01:17:56,0.00063,0.11302
2023-05-10 01:17:57,0.00125,0.24271
2023-05-10 01:17:58,0.00125,0.24916
2023-05-10 01:17:59,0.00126,0.25377
2023-05-10 01:18:00,0.00125,0.24907
2023-05-10 01:18:01,0.00125,0.24770
2023-05-10 01:18:02,0.00063,0.12187
2023-05-10 01:18:03,0.00125,0.25715
2023-05-10 01:18:04,0.00063,0.11567
2023-05-10 01:18:05,0.00188,0.38593
2023-05-10 01:18:06,0.00125,0.25082
2023-05-10 01:18:07,0.00125,0.26269
2023-05-10 01:18:08,0.00126,0.25442
2023-05-10 01:18:09,0.00063,0.12439
2023-05-10 01:18:10,0.00125,0.24611
2023-05-10 01:18:11,0.00188,0.33611
2023-05-10 01:18:12,0.00063,0.12090
2023-05-10 01:18:13,0.00125,0.23093
2023-05-10 01:18:14,0.00125,0.24196
2023-05-10 01:18:15,0.00125,0.25728
2023-05-10 01:18:16,0.00125,0.24677
2023-05-10 01:18:17,0.00063,0.12581
2023-05-10 01:18:18,0.00125,0.24970
2023-05-10 01:18:19,0.00125,0.24538
2023-05-10 01:18:20,0.00125,0.23592
2023-05-10 01:18:21,0.00063,0.13058
2023-05-10 01:18:22,0.00251,0.49361
2023-05-10 01:18:23,0.00062,0.12509
2023-05-10 01:18:24,0.00125,0.25028
2023-05-10 01:18:25,0.00063,0.12649
2023-05-10 01:18:26,0.00125,0.22539
2023-05-10 01:18:27,0.00125,0.23790
2023-05-10 01:18:28,0.00188,0.39290
2023-05-10 01:18:29,0.00063,0.11894
2023-05-10 01:18:30,0.00125,0.24765
2023-05-10 01:18:31,0.00188,0.35075
2023-05-10 01:18:32,0.00062,0.12799
2023-05-10 01:18:33,0.00125,0.25116
2023-05-10 01:18:34,0.00063,0.11387
2023-05-10 01:18:35,0.00125,0.23483
2023-05-10 01:18:36,0.00125,0.25533
2023-05-10 01:18:37,0.00125,0.24641
2023-05-10 01:18:38,0.00125,0.26033
2023-05-10 01:18:39,0.00188,0.35885
2023-05-10 01:18:40,0.00063,0.12157
2023-05-10 01:18:41,0.00063,0.11903
2023-05-10 01:18:42,0.00063,0.12496
2023-05-10 01:18:43,0.00125,0.24249
2023-05-10 01:18:44,0.00125,0.23954
2023-05-10 01:18:45,0.00125,0.24583
2023-05-10 01:18:46,0.00188,0.33656
2023-05-10 01:18:47,0.00063,0.11682
2023-05-10 01:18:48,0.00062,0.11505
2023-05-10 01:18:49,0.00188,0.36305
2023-05-10 01:18:50,0.00063,0.12607
2023-05-10 01:18:51,0.00189,0.37545
2023-05-10 01:18:52,0.00125,0.25778
2023-05-10 01:18:53,0.00062,0.11657
2023-05-10 01:18:54,0.00125,0.24366
2023-05-10 01:18:55,0.00063,0.11032
2023-05-10 01:18:56,0.00188,0.34301
2023-05-10 01:18:57,0.00188,0.34421
2023-05-10 01:18:58,0.00063,0.11837
2023-05-10 01:18:59,0.00125,0.23909
2023-05-10 01:19:00,0.00063,0.11361
2023-05-10 01:19:01,0.00125,0.25806
2023-05-10 01:19:02,0.00251,0.48082
2023-05-10 01:19:03,0.00062,0.12150
2023-05-10 01:19:04,0.00063,0.11613
2023-05-10 01:19:05,0.00125,0.25221
2023-05-10 01:19:06,0.00125,0.23114
2023-05-10 01:19:07,0.00125,0.23965
2023-05-10 01:19:08,0.00188,0.35319
2023-05-10 01:19:09,0.00125,0.24448
2023-05-10 01:19:10,0.00063,0.11465
2023-05-10 01:19:11,0.00125,0.21669
2023-05-10 01:19:12,0.00125,0.23631
2023-05-10 01:19:13,0.00063,0.11320
2023-05-10 01:19:14,0.00188,0.37143
2023-05-10 01:19:15,0.00125,0.23491
2023-05-10 01:19:16,0.00126,0.23386
2023-05-10 01:19:17,0.00125,0.23598
2023-05-10 01:19:18,0.00062,0.12309
2023-05-10 01:19:19,0.00063,0.12152
2023-05-10 01:19:20,0.00188,0.37912
2023-05-10 01:19:21,0.00125,0.23705
2023-05-10 01:19:22,0.00125,0.25396
2023-05-10 01:19:23,0.00063,0.11775
2023-05-10 01:19:24,0.00125,0.25419
2023-05-10 01:19:25,0.00125,0.22298
2023-05-10 01:19:26,0.00125,0.22487
2023-05-10 01:19:27,0.00063,0.12030
2023-05-10 01:19:28,0.00125,0.23594
2023-05-10 01:19:29,0.00125,0.24411
2023-05-10 01:19:30,0.00125,0.22225
2023-05-10 01:19:31,0.00126,0.24807
2023-05-10 01:19:32,0.00125,0.22599
2023-05-10 01:19:33,0.00063,0.12286
2023-05-10 01:19:34,0.00126,0.22927
2023-05-10 01:19:35,0.00125,0.24540
2023-05-10 01:19:36,0.00125,0.23192
2023-05-10 01:19:37,0.00125,0.24625
2023-05-10 01:19:38,0.00125,0.22966
2023-05-10 01:19:39,0.00125,0.23628
2023-05-10 01:19:40,0.00063,0.11153
2023-05-10 01:19:41,0.00125,0.22029
2023-05-10 01:19:42,0.00063,0.11257
2023-05-10 01:19:43,0.00188,0.34180
2023-05-10 01:19:44,0.00126,0.24802
2023-05-10 01:19:45,0.00125,0.23668
2023-05-10 01:19:46,0.00063,0.11951
2023-05-10 01:19:47,0.00125,0.23273
2023-05-10 01:19:48,0.00063,0.11571
2023-05-10 01:19:49,0.00188,0.36790
2023-05-10 01:19:50,0.00063,0.11764
2023-05-10 01:19:51,0.00125,0.24675
2023-05-10 01:19:52,0.00125,0.23524
2023-05-10 01:19:53,0.00063,0.11926
2023-05-10 01:19:54,0.00125,0.21261
2023-05-10 01:19:55,0.00188,0.35167
2023-05-10 01:19:56,0.00125,0.24726
2023-05-10 01:19:57,0.00063,0.11692
2023-05-10 01:19:58,0.00125,0.24971
2023-05-10 01:19:59,0.00125,0.23932
2023-05-10 01:20:00,0.00125,0.24922
2023-05-10 01:20:01,0.00125,0.22029
2023-05-10 01:20:02,0.00125,0.24355
2023-05-10 01:20:03,0.00063,0.11346
2023-05-10 01:20:04,0.00126,0.24097
2023-05-10 01:20:05,0.00125,0.21504
2023-05-10 01:20:06,0.00188,0.34163
2023-05-10 01:20:07,0.00063,0.10940
2023-05-10 01:20:08,0.00125,0.25110
2023-05-10 01:20:09,0.00125,0.20894
2023-05-10 01:20:10,0.00063,0.11457
2023-05-10 01:20:11,0.00125,0.23588
2023-05-10 01:20:12,0.00188,0.36197
2023-05-10 01:20:13,0.00063,0.12064
2023-05-10 01:20:14,0.00125,0.23341
2023-05-10 01:20:15,0.00125,0.24417
2023-05-10 01:20:16,0.00063,0.11475
2023-05-10 01:20:17,0.00125,0.24549
2023-05-10 01:20:18,0.00125,0.21986
2023-05-10 01:20:19,0.00125,0.25322
2023-05-10 01:20:20,0.00000,0.00000
2023-05-10 01:20:21,0.00188,0.36796
2023-05-10 01:20:22,0.00125,0.23523
