Date,CPU Utilization,CPU Power
2023-05-14 17:10:28,0.00533,0.55946
2023-05-14 17:10:29,0.00531,0.52296
2023-05-14 17:10:30,0.00893,0.89966
2023-05-14 17:10:31,0.00970,0.85991
2023-05-14 17:10:32,0.00893,0.76130
2023-05-14 17:10:33,0.00970,0.87854
2023-05-14 17:10:34,0.01049,0.92487
2023-05-14 17:10:35,0.00977,0.81716
2023-05-14 17:10:36,0.01444,1.17731
2023-05-14 17:10:37,0.01055,0.96315
2023-05-14 17:10:38,0.00977,0.80076
2023-05-14 17:10:39,0.00967,0.82847
2023-05-14 17:10:40,0.01100,0.91771
2023-05-14 17:10:41,0.01050,0.84037
2023-05-14 17:10:42,0.01191,0.97602
2023-05-14 17:10:43,0.01195,1.09528
2023-05-14 17:10:44,0.01043,0.89046
2023-05-14 17:10:45,0.01191,1.26204
2023-05-14 17:10:46,0.01041,0.90276
2023-05-14 17:10:47,0.01026,0.90460
2023-05-14 17:10:48,0.01177,1.07263
2023-05-14 17:10:49,0.00970,1.05574
2023-05-14 17:10:50,0.01101,1.06011
2023-05-14 17:10:51,0.01459,1.54336
2023-05-14 17:10:52,0.01163,1.45891
2023-05-14 17:10:53,0.01168,1.36751
2023-05-14 17:10:54,0.01019,1.21146
2023-05-14 17:10:55,0.01100,1.37779
2023-05-14 17:10:56,0.00956,1.13797
2023-05-14 17:10:57,0.01283,1.52499
2023-05-14 17:10:58,0.01025,1.31789
2023-05-14 17:10:59,0.01182,1.24149
2023-05-14 17:11:00,0.01172,1.20908
2023-05-14 17:11:01,0.01579,1.87666
2023-05-14 17:11:02,0.01289,1.32205
2023-05-14 17:11:03,0.01431,1.49078
2023-05-14 17:11:04,0.01566,1.64854
2023-05-14 17:11:05,0.01635,1.67593
2023-05-14 17:11:06,0.01427,1.54744
2023-05-14 17:11:07,0.01776,2.07979
2023-05-14 17:11:08,0.01778,2.11763
2023-05-14 17:11:09,0.01698,1.69508
