Date,CPU Utilization,CPU Power
2023-05-14 17:02:11,0.09254,5.11063
2023-05-14 17:02:12,0.09582,6.04766
2023-05-14 17:02:13,0.09482,5.79290
2023-05-14 17:02:14,0.09010,5.52531
2023-05-14 17:02:15,0.08824,5.77107
2023-05-14 17:02:16,0.08803,5.74051
2023-05-14 17:02:17,0.09279,6.13958
2023-05-14 17:02:18,0.08796,5.81755
2023-05-14 17:02:19,0.08958,5.41584
2023-05-14 17:02:20,0.09283,6.13772
2023-05-14 17:02:21,0.09220,6.15598
2023-05-14 17:02:22,0.09435,6.07942
2023-05-14 17:02:23,0.08905,5.74667
2023-05-14 17:02:24,0.08573,5.84679
2023-05-14 17:02:25,0.09049,6.13181
2023-05-14 17:02:26,0.10109,5.91107
2023-05-14 17:02:27,0.09184,6.32428
2023-05-14 17:02:28,0.08921,5.75890
2023-05-14 17:02:29,0.09932,6.56608
2023-05-14 17:02:30,0.09352,5.71433
