Date,CPU Utilization,CPU Power
2023-05-14 17:11:36,0.07816,4.54013
2023-05-14 17:11:37,0.08362,5.64138
2023-05-14 17:11:38,0.08048,5.34114
2023-05-14 17:11:39,0.08434,5.24024
2023-05-14 17:11:40,0.08734,5.16872
2023-05-14 17:11:41,0.08245,6.14551
2023-05-14 17:11:42,0.08412,6.12988
2023-05-14 17:11:43,0.08637,5.54739
2023-05-14 17:11:44,0.07997,5.54256
2023-05-14 17:11:45,0.08737,6.11648
2023-05-14 17:11:46,0.08250,5.35640
2023-05-14 17:11:47,0.08936,6.22236
2023-05-14 17:11:48,0.07939,4.91305
2023-05-14 17:11:49,0.09203,6.28449
2023-05-14 17:11:50,0.08406,4.60648
2023-05-14 17:11:51,0.08687,4.85274
2023-05-14 17:11:52,0.08093,3.95514
2023-05-14 17:11:53,0.06711,3.54574
2023-05-14 17:11:54,0.08583,3.86756
2023-05-14 17:11:55,0.09340,5.06583
