Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-14 17:29:49,0.03764,6.18359,6.18359,0.00000
2023-05-14 17:29:50,0.70677,27.48047,27.48047,0.00000
2023-05-14 17:29:51,0.73747,29.10547,29.10547,0.00000
2023-05-14 17:29:52,0.71867,28.14063,28.14063,0.00000
2023-05-14 17:29:53,0.75659,29.98047,29.98047,0.00000
2023-05-14 17:29:54,0.72075,27.95313,27.95313,0.00000
2023-05-14 17:29:55,0.74592,30.30469,30.30469,0.00000
2023-05-14 17:29:56,0.75655,27.05469,27.05469,0.00000
2023-05-14 17:29:57,0.81179,26.46094,26.46094,0.00000
2023-05-14 17:29:58,0.76471,24.01172,24.01172,0.00000
2023-05-14 17:29:59,0.78805,25.05078,25.05078,0.00000
2023-05-14 17:30:00,0.80214,25.39453,25.39453,0.00000
2023-05-14 17:30:01,0.82895,25.97656,25.97656,0.00000
2023-05-14 17:30:02,0.81054,24.41797,24.41797,0.00000
2023-05-14 17:30:03,0.80890,24.30078,24.30078,0.00000
2023-05-14 17:30:04,0.84881,25.62891,25.62891,0.00000
2023-05-14 17:30:05,0.87875,25.30469,25.30469,0.00000
2023-05-14 17:30:06,0.89474,24.78125,24.78125,0.00000
2023-05-14 17:30:07,0.84950,24.84375,24.84375,0.00000
2023-05-14 17:30:08,0.87531,25.14844,25.14844,0.00000
2023-05-14 17:30:09,0.88714,24.81641,24.81641,0.00000
2023-05-14 17:30:10,0.04780,7.84375,7.84375,0.00000
