Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-14 17:26:57,0.03947,6.24219,6.24219,0.00000
2023-05-14 17:26:58,0.71671,28.82422,28.82422,0.00000
2023-05-14 17:26:59,0.73622,30.22656,30.22656,0.00000
2023-05-14 17:27:00,0.71554,28.67969,28.67969,0.00000
2023-05-14 17:27:01,0.71142,28.69531,28.69531,0.00000
2023-05-14 17:27:02,0.70629,27.50781,27.50781,0.00000
2023-05-14 17:27:03,0.71812,28.87109,28.87109,0.00000
2023-05-14 17:27:04,0.70625,27.90625,27.90625,0.00000
2023-05-14 17:27:05,0.80639,27.29688,27.29688,0.00000
2023-05-14 17:27:06,0.76125,24.60156,24.60156,0.00000
2023-05-14 17:27:07,0.78043,24.64453,24.64453,0.00000
2023-05-14 17:27:08,0.76065,24.31250,24.31250,0.00000
2023-05-14 17:27:09,0.78473,25.11719,25.11719,0.00000
2023-05-14 17:27:10,0.78078,24.79297,24.79297,0.00000
2023-05-14 17:27:11,0.78383,24.80078,24.80078,0.00000
2023-05-14 17:27:12,0.76313,24.20703,24.20703,0.00000
2023-05-14 17:27:13,0.77952,24.94531,24.94531,0.00000
2023-05-14 17:27:14,0.76846,24.75000,24.75000,0.00000
2023-05-14 17:27:15,0.78723,25.01563,25.01563,0.00000
2023-05-14 17:27:16,0.80063,25.20313,25.20313,0.00000
2023-05-14 17:27:17,0.75188,24.02734,24.02734,0.00000
2023-05-14 17:27:18,0.05702,10.00000,10.00000,0.00000
2023-05-14 17:27:19,0.08913,12.83203,12.83203,0.00000
2023-05-14 17:27:20,0.05107,8.24609,8.24609,0.00000
2023-05-14 17:27:21,0.07125,10.74609,10.74609,0.00000
2023-05-14 17:27:22,0.03070,6.21094,6.21094,0.00000
2023-05-14 17:27:23,0.03576,7.53516,7.53516,0.00000
2023-05-14 17:27:24,0.03396,7.42188,7.42188,0.00000
2023-05-14 17:27:25,0.04334,7.85547,7.85547,0.00000
2023-05-14 17:27:26,0.02820,6.47656,6.47656,0.00000
2023-05-14 17:27:27,0.03446,7.24219,7.24219,0.00000
2023-05-14 17:27:28,0.02569,5.82813,5.82813,0.00000
