Date,CPU Utilization,CPU Power
2023-05-14 17:17:55,0.00000,0.00000
2023-05-14 17:17:56,0.00440,0.21481
2023-05-14 17:17:57,0.00251,0.11036
2023-05-14 17:17:58,0.00314,0.14047
2023-05-14 17:17:59,0.00314,0.14431
2023-05-14 17:18:00,0.00315,0.14084
2023-05-14 17:18:01,0.00253,0.11180
2023-05-14 17:18:02,0.00315,0.14060
2023-05-14 17:18:03,0.00441,0.19707
2023-05-14 17:18:04,0.00315,0.14345
2023-05-14 17:18:05,0.00315,0.14643
2023-05-14 17:18:06,0.00252,0.10972
2023-05-14 17:18:07,0.00315,0.15253
2023-05-14 17:18:08,0.00314,0.13648
2023-05-14 17:18:09,0.00253,0.11196
2023-05-14 17:18:10,0.00314,0.14156
2023-05-14 17:18:11,0.00314,0.13628
2023-05-14 17:18:12,0.00315,0.13948
2023-05-14 17:18:13,0.00251,0.12300
2023-05-14 17:18:14,0.00314,0.13626
