Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-14 17:20:47,0.02005,4.81641,4.81641,0.00000
2023-05-14 17:20:48,0.47870,22.57031,22.57031,0.00000
2023-05-14 17:20:49,0.47616,20.80078,20.80078,0.00000
2023-05-14 17:20:50,0.50000,21.25391,21.25391,0.00000
2023-05-14 17:20:51,0.49244,21.37500,21.37500,0.00000
2023-05-14 17:20:52,0.50882,22.77734,22.77734,0.00000
2023-05-14 17:20:53,0.49435,21.42578,21.42578,0.00000
2023-05-14 17:20:54,0.55436,24.86719,24.86719,0.00000
2023-05-14 17:20:55,0.51005,22.26172,22.26172,0.00000
2023-05-14 17:20:56,0.52013,22.92188,22.92188,0.00000
2023-05-14 17:20:57,0.57449,28.28125,28.28125,0.00000
2023-05-14 17:20:58,0.54098,24.71875,24.71875,0.00000
2023-05-14 17:20:59,0.50566,21.40625,21.40625,0.00000
2023-05-14 17:21:00,0.56683,26.72656,26.72656,0.00000
2023-05-14 17:21:01,0.50819,23.01172,23.01172,0.00000
2023-05-14 17:21:02,0.52579,24.14844,24.14844,0.00000
2023-05-14 17:21:03,0.51831,22.45703,22.45703,0.00000
2023-05-14 17:21:04,0.51631,22.75781,22.75781,0.00000
2023-05-14 17:21:05,0.55164,26.27344,26.27344,0.00000
2023-05-14 17:21:06,0.56454,26.10938,26.10938,0.00000
