Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-14 17:23:39,0.06061,10.16797,10.16797,0.00000
2023-05-14 17:23:40,0.53643,25.88672,25.88672,0.00000
2023-05-14 17:23:41,0.50631,22.14063,22.14063,0.00000
2023-05-14 17:23:42,0.51068,22.78906,22.78906,0.00000
2023-05-14 17:23:43,0.53459,23.83594,23.83594,0.00000
2023-05-14 17:23:44,0.52934,23.11328,23.11328,0.00000
2023-05-14 17:23:45,0.49686,21.24609,21.24609,0.00000
2023-05-14 17:23:46,0.53711,24.17578,24.17578,0.00000
2023-05-14 17:23:47,0.57755,27.80078,27.80078,0.00000
2023-05-14 17:23:48,0.56990,26.06641,26.06641,0.00000
2023-05-14 17:23:49,0.51641,22.37891,22.37891,0.00000
2023-05-14 17:23:50,0.52956,23.96094,23.96094,0.00000
2023-05-14 17:23:51,0.55094,26.79688,26.79688,0.00000
2023-05-14 17:23:52,0.54219,23.98047,23.98047,0.00000
2023-05-14 17:23:53,0.53216,24.00000,24.00000,0.00000
2023-05-14 17:23:54,0.55605,26.47266,26.47266,0.00000
2023-05-14 17:23:55,0.58879,25.67969,25.67969,0.00000
2023-05-14 17:23:56,0.56642,22.53516,22.53516,0.00000
2023-05-14 17:23:57,0.51826,21.85547,21.85547,0.00000
2023-05-14 17:23:58,0.52073,23.80469,23.80469,0.00000
