Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-14 17:26:31,0.05051,7.73438,7.73438,0.00000
2023-05-14 17:26:32,0.53008,26.84766,26.84766,0.00000
2023-05-14 17:26:33,0.52949,23.83984,23.83984,0.00000
2023-05-14 17:26:34,0.52956,23.15234,23.15234,0.00000
2023-05-14 17:26:35,0.50690,22.70703,22.70703,0.00000
2023-05-14 17:26:36,0.54637,26.57813,26.57813,0.00000
2023-05-14 17:26:37,0.50941,22.43750,22.43750,0.00000
2023-05-14 17:26:38,0.51317,22.55859,22.55859,0.00000
2023-05-14 17:26:39,0.48622,20.81641,20.81641,0.00000
2023-05-14 17:26:40,0.53509,24.81250,24.81250,0.00000
2023-05-14 17:26:41,0.50877,22.01563,22.01563,0.00000
2023-05-14 17:26:42,0.59131,29.61328,29.61328,0.00000
2023-05-14 17:26:43,0.57323,28.38281,28.38281,0.00000
2023-05-14 17:26:44,0.58270,28.63281,28.63281,0.00000
2023-05-14 17:26:45,0.60126,25.66016,25.66016,0.00000
2023-05-14 17:26:46,0.60252,22.89063,22.89063,0.00000
2023-05-14 17:26:47,0.51500,21.24609,21.24609,0.00000
2023-05-14 17:26:48,0.50751,21.64453,21.64453,0.00000
2023-05-14 17:26:49,0.48744,20.79688,20.79688,0.00000
2023-05-14 17:26:50,0.52691,24.87500,24.87500,0.00000
